dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
WBC,WBC_004336,WBC_004336,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,6,q1_revision_surrogate,1.0,0.04940335510764271,0,,3.0,10.0,0.0,8.0,0.25927439219531934,0.0,0.28886131433374723,nan,1.0,0.004940335510764271
WBC,WBC_004689,WBC_004689,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,6,q1_revision_surrogate,1.0,0.048592147999443114,0,,3.0,10.0,0.0,4.0,0.34489619582355807,1.0,0.20311821362694482,nan,1.0,0.004859214799944311
WBC,WBC_008853,WBC_008853,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.050537124974653125,0,,4.0,6.0,0.0,1.0,0.9685978677664695,1.0,0.04507609444092366,nan,1.0,0.005053712497465312
WBC,WBC_010810,WBC_010810,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,6,q1_revision_surrogate,1.0,0.046854206011630595,0,,3.0,6.0,0.0,3.0,0.5004963450080763,2.0,0.2327465242975807,nan,1.0,0.0046854206011630595
WBC,WBC_011919,WBC_011919,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.05065109999850392,0,,4.0,7.0,0.0,7.0,0.08510135832813687,0.0,0.08226445726818024,nan,3.0,0.0050651099998503925
WBC,WBC_016626,WBC_016626,0,trainval,val,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.05092328600585461,0,,5.0,10.0,0.0,6.0,0.4360009488569752,0.0,0.13653624263941547,nan,1.0,0.005092328600585461
WBC,WBC_021307,WBC_021307,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.046781443990767,0,,4.0,3.0,0.0,4.0,0.19307794855715055,2.0,0.042643299412711555,nan,2.0,0.0046781443990767
WBC,WBC_022038,WBC_022038,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,8,6,q1_revision_surrogate,1.0,0.04802154598291963,0,,2.0,4.0,0.06832365843776178,5.0,0.13012377342836065,2.0,0.1511617557581008,nan,3.0,0.004802154598291963
WBC,WBC_025178,WBC_025178,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.046853417064994574,0,,4.0,6.0,0.0,2.0,3.3393177880775173,2.0,0.1147485129458726,nan,1.0,0.004685341706499457
WBC,WBC_025586,WBC_025586,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.04885694303084165,0,,4.0,6.0,0.0,1.0,1.8989092222296537,1.0,0.07985389671478148,nan,1.0,0.004885694303084165
