dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,3,4,q1_revision_surrogate,1.0,4.57839437702205,0,,1.0,1.0,1.605112217904981,2.0,5.938016936147972,1.0,0.654534140361294,nan,1.0,0.5087104863357834
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,1,q1_revision_surrogate,1.0,3.3330270199803635,0,,6.0,2.0,0.9538154824638158,2.0,3.626437500487694,2.0,0.2340269523714806,nan,1.0,0.37033633555337375
PBS,PBS_000020,PBS_000020,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,3,q1_revision_surrogate,1.0,7.082810917054303,0,,2.0,14.0,0.8877461478880573,3.0,2.230658355636304,3.0,0.16386136945992438,nan,1.0,0.47218739447028685
PBS,PBS_000021,PBS_000021,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,1,q1_revision_surrogate,1.0,2.682717763003893,0,,0.0,5.0,0.8413777067215213,4.0,1.346079253159778,1.0,0.3698249657464997,nan,2.0,0.29807975144487703
PBS,PBS_000022,PBS_000022,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,3,6,q1_revision_surrogate,1.0,4.544554100953974,0,,3.0,2.0,0.9961655789157734,5.0,2.418965034005458,0.0,0.22800196193334643,nan,1.0,0.5049504556615526
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,2,q1_revision_surrogate,1.0,6.851294731954113,0,,2.0,14.0,0.06515568118548964,5.0,0.16785798001684793,2.0,0.08569491410119519,nan,4.0,0.45675298213027415
PBS,PBS_000038,PBS_000038,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,3,q1_revision_surrogate,1.0,8.470853251987137,0,,9.0,14.0,0.18483135546443796,6.0,0.48161074112532287,3.0,0.14775128546699962,nan,1.0,0.5647235501324758
PBS,PBS_000049,PBS_000049,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,3,1,q1_revision_surrogate,1.0,6.356207689968869,0,,2.0,14.0,0.047402501946610665,5.0,0.1012817518215493,1.0,0.2001220440866343,nan,4.0,0.42374717933125794
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,19.372964504989795,0,,2.0,14.0,0.06183440257049866,6.0,0.15439539056848953,2.0,0.07686395868504142,nan,3.0,1.2915309669993198
PBS,PBS_000076,PBS_000076,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,9,8,q1_revision_surrogate,1.0,8.638196180108935,0,,1.0,7.0,1.12324604871942,2.0,1.8212148215696813,5.0,0.6137812830594084,nan,1.0,0.5758797453405956
TBF,TBF_000004,TBF_000004,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,7,q1_revision_surrogate,1.0,2.4325430700555444,0,,6.0,13.0,1.0328656883879503,6.0,2.7903435614837084,1.0,0.12694174481546108,nan,2.0,0.17375307643253887
TBF,TBF_000057,TBF_000057,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,10,4,q1_revision_surrogate,1.0,5.652978488942608,0,,6.0,2.0,0.9067770390016532,8.0,3.7985244586872593,2.0,0.10890960209987965,nan,1.0,0.40378417778161485
TBF,TBF_000059,TBF_000059,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,5,q1_revision_surrogate,1.0,5.1809384051011875,0,,6.0,2.0,1.1089380505227728,6.0,5.612631678066018,3.0,0.14289740311476806,nan,1.0,0.3700670289357991
TBF,TBF_000067,TBF_000067,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,5,q1_revision_surrogate,1.0,4.956462505972013,0,,6.0,2.0,1.111311392227111,5.0,4.895780792007573,3.0,0.17680759536736138,nan,1.0,0.35403303614085807
TBF,TBF_000080,TBF_000080,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,4.7654311310034245,0,,6.0,13.0,0.0,3.0,1.325376921727764,4.0,0.19441840886454195,nan,1.0,0.34038793792881605
TBF,TBF_000107,TBF_000107,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,6.402805914054625,0,,6.0,2.0,0.0,3.0,2.275279759804049,3.0,0.11088982237093394,nan,1.0,0.45734327957533033
TBF,TBF_000153,TBF_000153,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,10,5,q1_revision_surrogate,1.0,6.115154883009382,0,,5.0,3.0,0.6977589119575338,8.0,2.393279126454655,1.0,0.11070134027339866,nan,1.0,0.43679677735781297
TBF,TBF_000169,TBF_000169,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,7,q1_revision_surrogate,1.0,6.090294189052656,0,,5.0,13.0,0.6114764468221667,3.0,1.3782440425334723,4.0,0.19310673302566395,nan,1.0,0.43502101350376116
TBF,TBF_000176,TBF_000176,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,6,q1_revision_surrogate,1.0,7.227635671966709,0,,5.0,2.0,0.9938950807613163,4.0,3.624436843699591,2.0,0.13038894618692382,nan,1.0,0.516259690854765
TBF,TBF_000179,TBF_000179,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,7,q1_revision_surrogate,1.0,4.401435234001838,0,,5.0,14.0,0.9635892858832397,2.0,2.5755576150114132,2.0,0.23229916524337976,nan,1.0,0.31438823100013125
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,6,q1_revision_surrogate,1.0,5.841877903905697,0,,0.0,4.0,0.6843307432791245,7.0,1.791486524242578,0.0,0.1324436908882563,nan,1.0,0.5841877903905697
TBI,TBI_000003,TBI_000003,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,5,q1_revision_surrogate,1.0,5.0500580770894885,0,,2.0,10.0,0.3187557771800643,2.0,0.5888376199216472,3.0,0.4248699990786677,nan,1.0,0.5050058077089489
TBI,TBI_000004,TBI_000004,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,5,q1_revision_surrogate,1.0,4.172297380049713,0,,1.0,10.0,0.9826384033714601,3.0,1.6617773393639208,2.0,0.5198587749804894,nan,1.0,0.4172297380049713
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,5,q1_revision_surrogate,1.0,5.016121683991514,0,,1.0,10.0,1.0953672526926121,3.0,1.8297205816337079,1.0,0.6634037858110076,nan,1.0,0.5016121683991515
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,3,5,q1_revision_surrogate,1.0,4.838856061920524,0,,2.0,10.0,1.4137889507104386,3.0,2.538727417259543,1.0,0.5618007379217094,nan,1.0,0.48388560619205234
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,5,q1_revision_surrogate,1.0,5.077934472938068,0,,1.0,10.0,0.9560982880042399,3.0,1.5114791266180336,2.0,0.5055800499089356,nan,1.0,0.5077934472938068
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,5,q1_revision_surrogate,1.0,4.793281203019433,0,,3.0,9.0,0.6552692730627335,5.0,0.6746112584243081,2.0,0.9916646218621624,nan,1.0,0.4793281203019433
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,5,q1_revision_surrogate,1.0,5.113152600009926,0,,1.0,10.0,1.1407793679984635,3.0,2.1352317372500798,1.0,0.6397562874710648,nan,1.0,0.5113152600009926
TBI,TBI_000024,TBI_000024,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,4.883229464991018,0,,2.0,8.0,0.7789702393918048,3.0,0.8118584802780385,2.0,0.8567263155762322,nan,1.0,0.4883229464991018
TBI,TBI_000025,TBI_000025,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,5,q1_revision_surrogate,1.0,5.119347625062801,0,,1.0,10.0,0.6421698047857173,5.0,1.18567370209598,0.0,0.2787446658124616,nan,1.0,0.5119347625062801
WBC,WBC_000214,WBC_000214,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,5,q1_revision_surrogate,1.0,0.16186336195096374,0,,3.0,8.0,0.21452379650563824,3.0,0.5870538159195589,2.0,0.05522206266341683,nan,1.0,0.016186336195096372
WBC,WBC_002054,WBC_002054,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,9,6,q1_revision_surrogate,1.0,0.012206873041577637,0,,3.0,10.0,0.0,5.0,0.3571918535546833,1.0,0.2635308212527327,nan,1.0,0.0012206873041577637
WBC,WBC_010017,WBC_010017,0,trainval,train,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,5,q1_revision_surrogate,1.0,0.012541866977699101,0,,3.0,9.0,0.09044668921311039,3.0,0.20746711406679938,2.0,0.18509797184828586,nan,2.0,0.00125418669776991
WBC,WBC_010288,WBC_010288,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,6,q1_revision_surrogate,1.0,0.010639583924785256,0,,0.0,5.0,0.2763874569384165,5.0,0.8626599769019485,1.0,0.04593697127481522,nan,1.0,0.0010639583924785256
WBC,WBC_010515,WBC_010515,0,trainval,val,gp::8771fb454b901ae0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,5,q1_revision_surrogate,1.0,0.012705478933639824,0,,0.0,10.0,0.14278296355682918,7.0,0.2959191035792399,1.0,0.24336719274490287,nan,2.0,0.0012705478933639825
