dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,1,q1_revision_surrogate,1.0,3.219429554999806,0,,1.0,14.0,0.0,1.0,1.0471021005172114,1.0,0.17147595387581993,nan,1.0,0.22995925392855757
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,3.087705657002516,0,,5.0,14.0,0.0,1.0,0.9746086876001672,1.0,0.0421951442193142,nan,1.0,0.22055040407160828
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,3.0084552840562537,0,,3.0,13.0,0.1307432966671518,12.0,0.2788965383514208,0.0,0.14774294691797468,nan,3.0,0.21488966314687527
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,3.1786325100110844,0,,8.0,12.0,0.0,1.0,5.78848616263338,1.0,0.16446673541462534,nan,1.0,0.22704517928650603
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,3.466080936952494,0,,8.0,12.0,0.0,1.0,6.000108007106909,1.0,0.15434295868486797,nan,1.0,0.247577209782321
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,3.424743734067306,0,,2.0,12.0,0.06273552225070655,12.0,0.16140003506383974,0.0,0.072354580068843,nan,3.0,0.244624552433379
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,3.4358531299512833,0,,8.0,12.0,0.0,1.0,5.293748531354842,1.0,0.11345587054005146,nan,1.0,0.24541808071080595
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,3.164390381076373,0,,8.0,12.0,0.0,1.0,5.812279126708749,1.0,0.15732878297257855,nan,1.0,0.22602788436259807
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,3.102505314978771,0,,2.0,14.0,0.7244221165215856,8.0,3.0928357211811264,0.0,0.08200766734276674,nan,3.0,0.22160752249848364
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,3.755382071947679,0,,2.0,14.0,0.8095992600243127,7.0,3.637873551036327,0.0,0.09917835748107233,nan,3.0,0.2682415765676914
TBF,TBF_000005,TBF_000005,0,trainval,val,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,12,6,q1_revision_surrogate,1.0,3.669969070935622,0,,6.0,14.0,0.4809767608929444,3.0,1.4179612087595017,2.0,0.11078220874600873,nan,1.0,0.262140647923973
TBF,TBF_000022,TBF_000022,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,3,6,q1_revision_surrogate,1.0,3.965635949978605,0,,3.0,14.0,0.10290985026678612,4.0,0.33351330857492023,1.0,0.035147566398413196,nan,2.0,0.2832597107127575
TBF,TBF_000023,TBF_000023,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,5,q1_revision_surrogate,1.0,3.453826215933077,0,,0.0,14.0,0.5003795265960179,8.0,1.447221238660637,1.0,0.11271721879367812,nan,1.0,0.24670187256664836
TBF,TBF_000027,TBF_000027,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,4,6,q1_revision_surrogate,1.0,3.517635368043557,0,,2.0,14.0,0.07486015558095482,9.0,0.21801492225035562,0.0,0.061692301857290716,nan,2.0,0.25125966914596837
TBF,TBF_000094,TBF_000094,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,12,7,q1_revision_surrogate,1.0,3.3979383260011673,0,,5.0,14.0,1.1384101470998065,2.0,3.489454251292577,3.0,0.310227359086014,nan,1.0,0.2427098804286548
TBF,TBF_000118,TBF_000118,0,trainval,train,gp::0fabfad584592868,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,3.3411083390237764,0,,3.0,14.0,0.8780313637636517,2.0,1.5339397447023408,4.0,0.4353647232023195,nan,1.0,0.23865059564455546
