dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,3,4,q1_revision_surrogate,1.0,7.405634233029559,0,,1.0,2.0,1.0849759396384013,7.0,3.881527277621291,0.0,0.22501918388265696,nan,1.0,0.8228482481143955
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,7,1,q1_revision_surrogate,1.0,5.867928782012314,0,,6.0,3.0,0.8568472476039389,8.0,4.929015422594627,0.0,0.1287064680282792,nan,1.0,0.6519920868902571
PBS,PBS_000020,PBS_000020,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,14,3,q1_revision_surrogate,1.0,12.054072049097158,0,,11.0,15.0,0.0,1.0,1.0473021550354868,3.0,0.09771001350962767,nan,1.0,0.8036048032731439
PBS,PBS_000021,PBS_000021,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,0,1,q1_revision_surrogate,1.0,5.141725605004467,0,,1.0,6.0,0.0,8.0,0.24823950265442613,0.0,0.022778929200259864,nan,2.0,0.5713028450004963
PBS,PBS_000022,PBS_000022,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,3,6,q1_revision_surrogate,1.0,7.365798590937629,0,,3.0,2.0,0.8016330748388483,6.0,1.681955261760471,1.0,0.20555119814488318,nan,1.0,0.8184220656597366
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,10,2,q1_revision_surrogate,1.0,11.098470429889858,0,,8.0,14.0,0.8953904679608939,6.0,3.3387963469053887,1.0,0.12900821032846196,nan,1.0,0.7398980286593239
PBS,PBS_000038,PBS_000038,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,3,q1_revision_surrogate,1.0,12.267682648962364,0,,8.0,15.0,0.5223266881709059,5.0,1.4334783159661397,3.0,0.1265308203344876,nan,1.0,0.8178455099308243
PBS,PBS_000049,PBS_000049,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,1,q1_revision_surrogate,1.0,11.962433133972809,0,,10.0,14.0,0.08872773729952244,6.0,0.19699419284938616,2.0,0.1661204997936509,nan,2.0,0.7974955422648539
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,1,3,q1_revision_surrogate,1.0,16.592988574062474,0,,2.0,15.0,0.221847825411145,4.0,0.6200955551904163,2.0,0.12334840321587476,nan,1.0,1.1061992382708317
PBS,PBS_000076,PBS_000076,0,trainval,val,gp::c922c86fc4a19e18,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,5,8,q1_revision_surrogate,1.0,12.976685461006127,0,,3.0,12.0,0.32771029188237155,2.0,1.1164972369727824,2.0,0.06182129330794512,nan,1.0,0.8651123640670751
