dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000011,BMA_000011,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,2,4,q1_revision_surrogate,1.0,4.534582245978527,0,,2.0,14.0,0.025104290922663308,10.0,0.0661366651069844,0.0,0.09026131126927874,nan,4.0,0.3238987318556091
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,5,10,q1_revision_surrogate,1.0,4.8584573299158365,0,,5.0,14.0,0.14640979301237222,4.0,0.3713947544619726,1.0,0.12615886336255477,nan,2.0,0.34703266642255975
BMA,BMA_000022,BMA_000022,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,5,9,q1_revision_surrogate,1.0,4.725429004058242,0,,4.0,13.0,0.1189509898282578,5.0,0.25748067876193137,1.0,0.1813096423249552,nan,2.0,0.33753064314701725
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,9,8,q1_revision_surrogate,1.0,4.88649710000027,0,,1.0,12.0,0.03782530477954349,8.0,0.10074895012410996,1.0,0.0868382763298318,nan,7.0,0.3490355071428764
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,9,8,q1_revision_surrogate,1.0,4.70952570810914,0,,1.0,13.0,0.013755747305965627,7.0,0.028706863892016595,1.0,0.1971762832092094,nan,8.0,0.3363946934363672
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,3,8,q1_revision_surrogate,1.0,4.397744736983441,0,,5.0,11.0,0.06242412754054261,6.0,0.2065131778194356,1.0,0.0166597321123279,nan,3.0,0.3141246240702458
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,4,8,q1_revision_surrogate,1.0,4.504223105031997,0,,4.0,12.0,0.022146852156675445,5.0,0.07109340780761442,1.0,0.045654100450407714,nan,3.0,0.32173022178799976
BMA,BMA_000033,BMA_000033,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,12,3,q1_revision_surrogate,1.0,4.334247849998064,0,,9.0,14.0,0.03390838968260679,5.0,0.09057461373899885,1.0,0.05594404108549386,nan,3.0,0.3095891321427189
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,2,5,q1_revision_surrogate,1.0,4.553220981033519,0,,3.0,14.0,0.010119286061562649,5.0,0.027160502555005142,1.0,0.09021094395485994,nan,8.0,0.32523007007382276
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::5efdaf73d05506c7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}]}",cfm4,12,3,q1_revision_surrogate,1.0,4.597080104984343,0,,9.0,14.0,0.02688294855984541,5.0,0.07258639184594745,1.0,0.056793950976373984,nan,3.0,0.3283628646417388
