dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,3,q1_revision_surrogate,1.0,5.406612611026503,0,,8.0,13.0,0.24346100327865294,3.0,0.5698507397817344,3.0,0.1694530590455695,nan,2.0,0.38618661507332164
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,12,1,q1_revision_surrogate,1.0,5.642856759019196,0,,11.0,13.0,0.06667211220877045,6.0,0.14270041538566955,2.0,0.13149311740225342,nan,3.0,0.4030611970727997
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,10,1,q1_revision_surrogate,1.0,5.582959100021981,0,,9.0,13.0,0.022192668951448558,6.0,0.04590941642007155,2.0,0.225306523915479,nan,5.0,0.39878279285871293
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,10,q1_revision_surrogate,1.0,5.611847921973094,0,,6.0,14.0,0.44005889683618493,3.0,1.1743841722761623,2.0,0.15085878817510348,nan,1.0,0.4008462801409353
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,0,9,q1_revision_surrogate,1.0,5.453195456997491,0,,9.0,12.0,0.0,1.0,5.39978052624842,3.0,0.36350906543499323,nan,1.0,0.38951396121410653
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,7,9,q1_revision_surrogate,1.0,5.283069986035116,0,,2.0,14.0,0.09404100351089029,7.0,0.2211916534795948,1.0,0.1502026044863453,nan,2.0,0.37736214185965117
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,8,8,q1_revision_surrogate,1.0,5.558448437019251,0,,0.0,11.0,0.04732843991421576,6.0,0.15431476479649048,1.0,0.06555979354088345,nan,6.0,0.39703203121566083
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,8,q1_revision_surrogate,1.0,5.649844461935572,0,,4.0,11.0,0.34820228356710325,5.0,1.038946788848008,2.0,0.09193445512697451,nan,2.0,0.40356031870968373
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,8,q1_revision_surrogate,1.0,5.599161937949248,0,,6.0,13.0,0.647219710061628,4.0,1.6873284476338481,2.0,0.17097601531870224,nan,1.0,0.39994013842494625
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,8,q1_revision_surrogate,1.0,5.329785571084358,0,,4.0,12.0,0.12029230541529046,4.0,0.47072848869190276,2.0,0.019068460839055657,nan,2.0,0.38069896936316844
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,7,q1_revision_surrogate,1.0,3.3150448200758547,0,,5.0,8.0,0.3793674628184217,3.0,1.4376368126334176,2.0,0.035066582721041066,nan,4.0,0.36833831334176165
PBS,PBS_000015,PBS_000015,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,1,q1_revision_surrogate,1.0,3.503480158979073,0,,1.0,7.0,1.318841336644506,3.0,1.6280488058471363,1.0,0.9165590295310214,nan,1.0,0.38927557321989703
PBS,PBS_000018,PBS_000018,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,1,q1_revision_surrogate,1.0,3.6662081569666043,0,,3.0,8.0,0.1443339141613229,7.0,0.19564847452718262,0.0,0.4018378698095928,nan,2.0,0.40735646188517827
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,2,q1_revision_surrogate,1.0,6.0431684399954975,0,,2.0,15.0,0.09505896252227652,5.0,0.24197281439182097,2.0,0.08458827090870935,nan,2.0,0.4028778959996998
PBS,PBS_000027,PBS_000027,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,6,8,q1_revision_surrogate,1.0,5.704265255946666,0,,2.0,14.0,0.10935648881734861,6.0,0.24090559009584106,2.0,0.20386892056337613,nan,5.0,0.3802843503964444
PBS,PBS_000061,PBS_000061,0,trainval,train,gp::d535a7d227b353ec,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,1,4,q1_revision_surrogate,1.0,5.718275947030634,0,,3.0,15.0,0.384318144465833,6.0,1.060757242156883,1.0,0.06941271239850769,nan,1.0,0.3812183964687089
