dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,7,q1_revision_surrogate,1.0,1.3873712860513479,0,,7.0,11.0,0.0,1.0,1.40670780624379,1.0,0.07136013189904344,nan,1.0,0.09909794900366771
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,5,1,q1_revision_surrogate,1.0,1.3831975819775835,0,,4.0,14.0,1.0346150183648484,5.0,5.403404092648385,0.0,0.1787850525044192,nan,2.0,0.0987998272841131
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,1.302279119961895,0,,3.0,14.0,0.0,1.0,1.6900171246099744,1.0,0.1460068850437611,nan,1.0,0.09301993714013536
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.469713830971159,0,,3.0,13.0,0.05379343269361314,12.0,0.11797748173747168,0.0,0.15525857238163526,nan,6.0,0.10497955935508278
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.5275175909046084,0,,8.0,12.0,0.0,1.0,4.3981450915479705,1.0,0.08556439249947856,nan,1.0,0.10910839935032916
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.4186249350896105,0,,8.0,13.0,0.0,1.0,5.5734994709746015,1.0,0.18731449999379035,nan,1.0,0.10133035250640075
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.4220884080277756,0,,8.0,13.0,0.0,1.0,5.192422709396984,1.0,0.15524036592264046,nan,1.0,0.1015777434305554
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,5,5,q1_revision_surrogate,1.0,1.3916901289485395,0,,0.0,14.0,0.08363492506594838,9.0,0.24035052771832766,0.0,0.0730156838152202,nan,6.0,0.09940643778203853
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.3091994900023565,0,,2.0,14.0,0.7838686016941391,7.0,3.5018883410852437,0.0,0.10152421299780968,nan,6.0,0.0935142492858826
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.4526880019111559,0,,2.0,14.0,0.613745829730769,7.0,2.4510717948096534,0.0,0.0697065156929737,nan,6.0,0.10376342870793971
