dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000011,BMA_000011,0,trainval,train,gp::daacc86c3caa681a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,4,q1_revision_surrogate,1.0,1.2099739469122142,0,,4.0,14.0,0.0,1.0,1.3348258399956714,1.0,0.0932989343055322,nan,1.0,0.08642671049372959
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::daacc86c3caa681a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,10,q1_revision_surrogate,1.0,1.1545694359811023,0,,4.0,14.0,0.23434464324093085,11.0,0.6154459025339974,0.0,0.05708509910028988,nan,3.0,0.08246924542722159
BMA,BMA_000022,BMA_000022,0,trainval,train,gp::daacc86c3caa681a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.0510785640217364,0,,3.0,13.0,0.22090971576254503,12.0,0.5205062699243967,0.0,0.10810303750090504,nan,2.0,0.07507704028726689
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::daacc86c3caa681a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.133093222975731,0,,8.0,12.0,0.0,1.0,4.885895260080128,1.0,0.09122721083565256,nan,1.0,0.08093523021255221
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::daacc86c3caa681a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.046020829002373,0,,8.0,12.0,0.0,1.0,5.8235703933466745,1.0,0.16543721816465362,nan,1.0,0.07471577350016949
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::daacc86c3caa681a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.2432675960008055,0,,2.0,10.0,0.05599594608290259,13.0,0.17440501910676487,0.0,0.00661478332456946,nan,3.0,0.08880482828577183
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::daacc86c3caa681a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.0855808450141922,0,,8.0,12.0,0.0,1.0,4.547791879941807,1.0,0.07563531245335921,nan,1.0,0.07754148892958515
BMA,BMA_000033,BMA_000033,0,trainval,train,gp::daacc86c3caa681a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,0,3,q1_revision_surrogate,1.0,1.1438809430692345,0,,3.0,14.0,0.0,1.0,1.1644543386476927,1.0,0.07514313396366513,nan,1.0,0.08170578164780247
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::daacc86c3caa681a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,5,5,q1_revision_surrogate,1.0,1.0471952439984307,0,,0.0,14.0,0.268736422797228,9.0,0.8102664359329286,0.0,0.05387745451161303,nan,2.0,0.07479966028560218
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::daacc86c3caa681a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.0531980349915102,0,,2.0,14.0,0.7788300988021011,7.0,3.2969824937569703,0.0,0.0923123823087077,nan,2.0,0.07522843107082215
