dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000004,BMA_000004,0,trainval,val,gp::13d769f2631b13fb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,12,7,q1_revision_surrogate,1.0,1.9710742249153554,0,,5.0,13.0,0.12328175232517757,6.0,0.2267582784160944,2.0,0.20475828641036672,nan,2.0,0.14079101606538252
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::13d769f2631b13fb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,6,3,q1_revision_surrogate,1.0,1.915726267034188,0,,3.0,7.0,1.0158310417951313,4.0,3.738291474052464,3.0,0.22436958927948794,nan,2.0,0.13683759050244199
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::13d769f2631b13fb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,9,1,q1_revision_surrogate,1.0,1.9334430580493063,0,,8.0,7.0,0.1623071036901521,5.0,0.49835936337964515,2.0,0.10822306783212966,nan,1.0,0.13810307557495044
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::13d769f2631b13fb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,8,5,q1_revision_surrogate,1.0,1.9604105480248109,0,,3.0,7.0,0.014910062910518218,6.0,0.033390954300133724,3.0,0.23381046026362248,nan,5.0,0.14002932485891506
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::13d769f2631b13fb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,1,9,q1_revision_surrogate,1.0,1.9450993579812348,0,,8.0,13.0,1.0013217337404599,6.0,2.4736496469498563,2.0,0.15285885858848783,nan,2.0,0.13893566842723107
BMA,BMA_000018,BMA_000018,0,trainval,val,gp::13d769f2631b13fb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,12,10,q1_revision_surrogate,1.0,1.9952950719743967,0,,2.0,13.0,0.15103962442292018,7.0,0.31168664584588457,1.0,0.07293189793996993,nan,1.0,0.14252107656959975
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::13d769f2631b13fb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,11,8,q1_revision_surrogate,1.0,1.7799720569746569,0,,3.0,14.0,0.051173427308964126,5.0,0.10075377897446912,2.0,0.22587879237618966,nan,3.0,0.1271408612124755
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::13d769f2631b13fb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,11,8,q1_revision_surrogate,1.0,1.7002797659952193,0,,3.0,13.0,0.3588637602958993,6.0,0.8530443585803842,2.0,0.12808973852002398,nan,2.0,0.12144855471394424
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::13d769f2631b13fb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,8,5,q1_revision_surrogate,1.0,1.667713755974546,0,,3.0,8.0,0.030793150864496854,6.0,0.08693511376603952,2.0,0.16058498370737728,nan,5.0,0.11912241114103901
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::13d769f2631b13fb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""dog_filter"", ""params"": {""ksize1"": 3, ""ksize2"": 7, ""sigma1"": 0.5, ""sigma2"": 1.5}}]}",cfm4,6,3,q1_revision_surrogate,1.0,1.9380188781069592,0,,3.0,5.0,0.8796481962340502,4.0,2.9885078277731916,2.0,0.14667272609980112,nan,2.0,0.13842991986478279
