dataset,stack_id,group_id,path,stack_index,source_stack_file,source_stack_index,n_slices,best_focus_index,label_source,confidence,outer_split,inner_split
BMA,BMA_000000,BMA_000000,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos000_0,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,0,14,7,q1_revision_surrogate,,test,test
BMA,BMA_000001,BMA_000001,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos000_1,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,1,14,7,q1_revision_surrogate,,trainval,train
BMA,BMA_000002,BMA_000002,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos000_2,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,2,14,8,q1_revision_surrogate,,test,test
BMA,BMA_000003,BMA_000003,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos000_3,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,3,14,7,q1_revision_surrogate,,test,test
BMA,BMA_000004,BMA_000004,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos001_0,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,4,14,7,q1_revision_surrogate,,trainval,val
BMA,BMA_000005,BMA_000005,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos001_1,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,5,14,1,q1_revision_surrogate,,trainval,train
BMA,BMA_000006,BMA_000006,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos001_2,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,6,14,3,q1_revision_surrogate,,trainval,train
BMA,BMA_000007,BMA_000007,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos001_3,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,7,14,4,q1_revision_surrogate,,test,test
BMA,BMA_000008,BMA_000008,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_0,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,8,14,1,q1_revision_surrogate,,trainval,train
BMA,BMA_000009,BMA_000009,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_1,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,9,14,1,q1_revision_surrogate,,trainval,train
BMA,BMA_000010,BMA_000010,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,10,14,1,q1_revision_surrogate,,test,test
BMA,BMA_000011,BMA_000011,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_3,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,11,14,4,q1_revision_surrogate,,trainval,train
BMA,BMA_000012,BMA_000012,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos003_0,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,12,14,3,q1_revision_surrogate,,trainval,train
BMA,BMA_000013,BMA_000013,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos003_1,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,13,14,3,q1_revision_surrogate,,trainval,train
BMA,BMA_000014,BMA_000014,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos003_2,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,14,14,5,q1_revision_surrogate,,trainval,train
BMA,BMA_000015,BMA_000015,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos003_3,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,15,14,5,q1_revision_surrogate,,test,test
BMA,BMA_000016,BMA_000016,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos004_0,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,16,14,1,q1_revision_surrogate,,trainval,train
BMA,BMA_000017,BMA_000017,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos004_1,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,17,14,9,q1_revision_surrogate,,trainval,train
BMA,BMA_000018,BMA_000018,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos004_2,0,/home/dineth/focus_measure/journal/focus_measure_q1_revision/outputs/01_stacks/arrays/BMA_stacks.npy,18,14,10,q1_revision_surrogate,,trainval,val
