dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBF,TBF_000023,TBF_000023,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,5,q1_revision_surrogate,1.0,10.205527646932751,0,,6.0,13.0,0.7622202420249531,4.0,1.4037120399734664,3.0,0.25685874823685934,nan,1.0,0.7289662604951965
TBF,TBF_000027,TBF_000027,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,6,q1_revision_surrogate,1.0,9.848143964074552,0,,4.0,14.0,0.18522788474114404,3.0,0.530903118742638,2.0,0.11391747128453385,nan,2.0,0.7034388545767537
TBF,TBF_000029,TBF_000029,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,12,6,q1_revision_surrogate,1.0,10.204997755005024,0,,6.0,1.0,1.097459415253175,3.0,6.009210949944637,4.0,0.1585988485000436,nan,1.0,0.7289284110717874
TBF,TBF_000039,TBF_000039,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,6,q1_revision_surrogate,1.0,10.10444602300413,0,,3.0,10.0,0.5528233610105154,7.0,0.970150360896463,2.0,0.1763504211750201,nan,1.0,0.721746144500295
TBF,TBF_000043,TBF_000043,0,trainval,val,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,5,q1_revision_surrogate,1.0,10.126082096016034,0,,6.0,3.0,0.8694564462362179,9.0,3.591831832315827,1.0,0.10773071957267473,nan,1.0,0.7232915782868596
TBF,TBF_000056,TBF_000056,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,7,6,q1_revision_surrogate,1.0,10.241004099952988,0,,1.0,11.0,0.3346329570719312,7.0,0.7334280203939004,1.0,0.14590437234884915,nan,1.0,0.7315002928537849
TBF,TBF_000074,TBF_000074,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,6,q1_revision_surrogate,1.0,10.038571905926801,0,,5.0,11.0,0.5558780189602142,6.0,1.3078916563443577,2.0,0.11688091243372889,nan,1.0,0.717040850423343
TBF,TBF_000119,TBF_000119,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,8,5,q1_revision_surrogate,1.0,10.294951139949262,0,,3.0,13.0,0.5284238617802011,5.0,1.1084073837528383,2.0,0.2052389970448315,nan,1.0,0.7353536528535187
TBF,TBF_000153,TBF_000153,0,trainval,val,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,5,q1_revision_surrogate,1.0,10.177191273891367,0,,4.0,7.0,0.31692488141825015,6.0,0.6144969316355353,2.0,0.19493818048652622,nan,1.0,0.7269422338493834
TBF,TBF_000175,TBF_000175,0,trainval,train,gp::41738f7063eaa73a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""tophat_bothat"", ""params"": {""ksize"": 5}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,4,q1_revision_surrogate,1.0,10.12663346203044,0,,5.0,14.0,0.34675512358717187,3.0,0.7114950787963177,2.0,0.19546682224988762,nan,2.0,0.7233309615736029
