dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::d88e32a902939b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,2,6,q1_revision_surrogate,1.0,0.7043168989475816,0,,4.0,10.0,0.04598651659766273,6.0,0.08545854661121927,0.0,0.2565469717477181,nan,5.0,0.07043168989475816
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::d88e32a902939b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.7288652680581436,0,,5.0,10.0,0.0,6.0,0.10721293828137819,0.0,0.2657740821762733,nan,2.0,0.07288652680581435
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::d88e32a902939b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,2,5,q1_revision_surrogate,1.0,0.7359763379208744,0,,3.0,10.0,0.037877740877026334,5.0,0.06779349856484226,0.0,0.2079887276542602,nan,4.0,0.07359763379208743
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::d88e32a902939b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.763313077040948,0,,4.0,10.0,0.0,3.0,0.5997316162356268,2.0,0.4472032881355539,nan,1.0,0.0763313077040948
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::d88e32a902939b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.7802443039836362,0,,5.0,10.0,0.0,6.0,0.14423531066521517,0.0,0.15835037193955365,nan,2.0,0.07802443039836363
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::d88e32a902939b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,2,5,q1_revision_surrogate,1.0,0.7718179459916428,0,,3.0,10.0,0.03949435140709612,5.0,0.07241257628164875,1.0,0.24438710690570056,nan,4.0,0.07718179459916427
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::d88e32a902939b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,2,5,q1_revision_surrogate,1.0,0.7030555149540305,0,,3.0,10.0,0.08261431231959482,5.0,0.15675292837791255,0.0,0.19350493143681388,nan,3.0,0.07030555149540305
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::d88e32a902939b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,3,5,q1_revision_surrogate,1.0,0.7516333240782842,0,,2.0,10.0,0.01991630117322085,5.0,0.034490239740312366,0.0,0.5222194917567434,nan,6.0,0.07516333240782842
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::d88e32a902939b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,2,5,q1_revision_surrogate,1.0,0.6961890030652285,0,,3.0,10.0,0.08468966090865448,3.0,0.15414935638125665,2.0,0.5110384429556691,nan,2.0,0.06961890030652285
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::d88e32a902939b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.7676272470271215,0,,5.0,10.0,0.0,6.0,0.13639902171739615,0.0,0.368349795494833,nan,2.0,0.07676272470271214
