dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000004,BMA_000004,0,trainval,val,gp::f01fc3c70405e5ff,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,7,q1_revision_surrogate,1.0,0.8737662720959634,0,,7.0,11.0,0.0,1.0,4.6944657698480485,1.0,0.08431960701223491,nan,1.0,0.0624118765782831
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::f01fc3c70405e5ff,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,0.8664472079835832,0,,3.0,14.0,0.0,1.0,2.3269228654525196,1.0,0.16401445079788668,nan,1.0,0.06188908628454166
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::f01fc3c70405e5ff,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,1,q1_revision_surrogate,1.0,0.8073270010063425,0,,1.0,14.0,0.0,1.0,1.0281025420873589,1.0,0.16921067074858573,nan,1.0,0.05766621435759589
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::f01fc3c70405e5ff,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.8573427959345281,0,,5.0,14.0,0.0,1.0,0.9861489449329806,1.0,0.04143328334837973,nan,1.0,0.06123877113818058
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::f01fc3c70405e5ff,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.784621836966835,0,,3.0,13.0,0.1326951038688462,12.0,0.28387022378376586,0.0,0.1449344095371411,nan,3.0,0.056044416926202496
BMA,BMA_000018,BMA_000018,0,trainval,val,gp::f01fc3c70405e5ff,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,10,q1_revision_surrogate,1.0,0.8930693169822916,0,,4.0,14.0,0.2433490399624102,11.0,0.6374230164982819,0.0,0.05172893382430523,nan,3.0,0.06379066549873512
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::f01fc3c70405e5ff,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.7726547659840435,0,,2.0,11.0,0.05271811736705434,12.0,0.13218358721383433,0.0,0.08475801842989307,nan,3.0,0.05518962614171739
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::f01fc3c70405e5ff,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.8573688070755452,0,,8.0,12.0,0.0,1.0,5.803378680267538,1.0,0.16263988875643573,nan,1.0,0.061240629076824656
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::f01fc3c70405e5ff,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,5,5,q1_revision_surrogate,1.0,0.7789717980194837,0,,0.0,14.0,0.22496428066079543,9.0,0.6766578748300729,0.0,0.04537599342319245,nan,2.0,0.05564084271567741
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::f01fc3c70405e5ff,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.8928695200011134,0,,2.0,14.0,0.6716602827510898,7.0,2.7979171913675325,0.0,0.07072552272490508,nan,3.0,0.06377639428579382
