dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::ee98f62d119e20aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,7,q1_revision_surrogate,1.0,1.8323734640143812,0,,7.0,11.0,0.0,1.0,2.574822295854597,1.0,0.05886476476524588,nan,1.0,0.13088381885817008
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::ee98f62d119e20aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,1,q1_revision_surrogate,1.0,1.6530161169357598,0,,4.0,14.0,0.9892367215298566,4.0,2.6691634411016345,2.0,0.2879216617775491,nan,2.0,0.1180725797811257
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::ee98f62d119e20aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,3,q1_revision_surrogate,1.0,1.6859089910285547,0,,3.0,6.0,0.0,2.0,2.9060915966725442,1.0,0.12010003601923018,nan,1.0,0.12042207078775391
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::ee98f62d119e20aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,9,q1_revision_surrogate,1.0,1.6159679129486904,0,,3.0,13.0,0.14346085105928152,12.0,0.3155799079003072,0.0,0.1307841268520479,nan,3.0,0.11542627949633502
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::ee98f62d119e20aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.713833857094869,0,,8.0,12.0,0.0,1.0,4.873669093647173,2.0,0.10279910679972476,nan,1.0,0.12241670407820493
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::ee98f62d119e20aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.6256936370627955,0,,8.0,12.0,0.0,1.0,5.6817161518796295,2.0,0.17559919414182332,nan,1.0,0.11612097407591396
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::ee98f62d119e20aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.664627316989936,0,,8.0,13.0,0.0,1.0,5.010008290588773,1.0,0.10976712317440025,nan,1.0,0.11890195121356685
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::ee98f62d119e20aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,5,q1_revision_surrogate,1.0,1.4621840240433812,0,,0.0,14.0,0.19512204203654326,9.0,0.5831067691683652,0.0,0.047741917579481784,nan,3.0,0.10444171600309866
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::ee98f62d119e20aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.515343144070357,0,,2.0,14.0,0.8269601332674941,7.0,3.803278547468152,0.0,0.1044707752065318,nan,4.0,0.1082387960050255
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::ee98f62d119e20aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.4951477049617097,0,,2.0,14.0,0.4635818285990597,7.0,1.6835382861707846,0.0,0.046113231518931756,nan,4.0,0.10679626464012212
