dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000011,BMA_000011,0,trainval,train,gp::0e9dff3877cf5c2e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,4,q1_revision_surrogate,1.0,4.777459705015644,0,,4.0,14.0,0.0,1.0,1.186335139669212,1.0,0.07900842600048448,nan,1.0,0.34124712178683175
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::0e9dff3877cf5c2e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,6,10,q1_revision_surrogate,1.0,5.016131017007865,0,,4.0,14.0,0.18709885550950633,11.0,0.47830169100912157,0.0,0.057954109441000524,nan,4.0,0.3582950726434189
BMA,BMA_000022,BMA_000022,0,trainval,train,gp::0e9dff3877cf5c2e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,6,9,q1_revision_surrogate,1.0,4.835644284961745,0,,3.0,13.0,0.1544018069287859,12.0,0.34471056127485455,0.0,0.11881222077911806,nan,3.0,0.34540316321155323
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::0e9dff3877cf5c2e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,8,q1_revision_surrogate,1.0,5.203622292960063,0,,8.0,12.0,0.0,1.0,5.198714712344656,1.0,0.11134198008211138,nan,1.0,0.3716873066400045
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::0e9dff3877cf5c2e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,8,q1_revision_surrogate,1.0,4.689386902959086,0,,8.0,13.0,0.0,1.0,5.677600197932639,1.0,0.16633209331918242,nan,1.0,0.33495620735422044
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::0e9dff3877cf5c2e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,6,8,q1_revision_surrogate,1.0,5.164622174110264,0,,2.0,10.0,0.03957713363680482,13.0,0.12402934888061705,0.0,0.006985678836654428,nan,3.0,0.3689015838650188
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::0e9dff3877cf5c2e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,6,8,q1_revision_surrogate,1.0,5.003272815956734,0,,2.0,12.0,0.05290903950952608,12.0,0.13738167884102712,0.0,0.07371368793584208,nan,4.0,0.35737662971119527
BMA,BMA_000033,BMA_000033,0,trainval,train,gp::0e9dff3877cf5c2e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,0,3,q1_revision_surrogate,1.0,4.8952662200899795,0,,3.0,14.0,0.0,1.0,0.5747470640022032,1.0,0.06487310324121964,nan,1.0,0.34966187286357
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::0e9dff3877cf5c2e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,5,5,q1_revision_surrogate,1.0,5.128709474927746,0,,0.0,14.0,0.17598310738743306,9.0,0.5217961375704787,0.0,0.051747613539869064,nan,3.0,0.36633639106626753
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::0e9dff3877cf5c2e,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""clahe_enhancement"", ""params"": {""clip_limit"": 2.0, ""tile_grid_size"": 8}}]}",cfm4,5,3,q1_revision_surrogate,1.0,4.718575312988833,0,,2.0,14.0,0.7813386807530274,7.0,3.4518956309727282,0.0,0.09402410135788027,nan,3.0,0.3370410937849166
