dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,12,3,q1_revision_surrogate,1.0,5.952145620016381,0,,9.0,10.0,1.7615575400833905,2.0,2.8563093048565267,3.0,0.7749268886448122,nan,1.0,0.42515325857259867
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,1,q1_revision_surrogate,1.0,5.190584855037741,0,,8.0,13.0,0.48032857737233836,3.0,1.210286033109531,3.0,0.18132006808388668,nan,1.0,0.3707560610741244
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,13,1,q1_revision_surrogate,1.0,5.315989320981316,0,,12.0,13.0,0.0,1.0,6.62506109647085,4.0,0.19975454207576315,nan,1.0,0.37971352292723687
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,10,q1_revision_surrogate,1.0,5.274306353996508,0,,8.0,2.0,0.9584031663004431,4.0,2.281386917439901,3.0,0.28509250748594994,nan,1.0,0.3767361681426077
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,12,9,q1_revision_surrogate,1.0,5.236104684998281,0,,3.0,4.0,1.084351510972117,2.0,2.935681106823785,3.0,0.39325490218409054,nan,1.0,0.37400747749987723
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,1,9,q1_revision_surrogate,1.0,5.278848125948571,0,,8.0,2.0,0.9958292203931909,3.0,3.041767991235614,3.0,0.16440845831298034,nan,1.0,0.37706058042489793
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,1,8,q1_revision_surrogate,1.0,5.221605008933693,0,,7.0,11.0,0.9503155676454461,4.0,2.579909514114643,3.0,0.20991837468745622,nan,1.0,0.37297178635240663
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,8,q1_revision_surrogate,1.0,5.362668120069429,0,,6.0,12.0,0.7710600112761367,5.0,1.4344266900232052,2.0,0.2191854217742226,nan,1.0,0.3830477228621021
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,1,8,q1_revision_surrogate,1.0,5.005761930951849,0,,7.0,10.0,0.7913070077217677,2.0,2.271411761197453,2.0,0.18236077148365856,nan,1.0,0.35755442363941775
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,8,q1_revision_surrogate,1.0,5.291812399053015,0,,4.0,13.0,1.4001278834913569,3.0,3.1626814595505923,3.0,0.3566209114599565,nan,1.0,0.3779865999323582
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,7,q1_revision_surrogate,1.0,3.3248572540469468,0,,3.0,4.0,1.1815274687783806,3.0,1.6800125717432937,2.0,0.6216364003781821,nan,1.0,0.3694285837829941
PBS,PBS_000015,PBS_000015,0,trainval,train,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,3,1,q1_revision_surrogate,1.0,3.3868778849719092,0,,2.0,8.0,0.937030201381124,3.0,1.6046099065215245,2.0,0.42538172673227237,nan,1.0,0.3763197649968788
PBS,PBS_000018,PBS_000018,0,trainval,train,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,1,q1_revision_surrogate,1.0,3.137312783044763,0,,1.0,5.0,0.3431592271366326,7.0,0.8485956853683257,0.0,0.09664435818126607,nan,2.0,0.34859030922719586
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::bdb0728f1fa3a3cb,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,2,q1_revision_surrogate,1.0,5.64717291505076,0,,2.0,15.0,0.07535386831413182,5.0,0.19457522358041524,2.0,0.08577223925386311,nan,2.0,0.3764781943367173
