dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000004,BMA_000004,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,7,q1_revision_surrogate,1.0,0.5532954350346699,0,,7.0,11.0,0.0,1.0,4.612953270029806,1.0,0.0828976445306103,nan,1.0,0.039521102502476424
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,3,q1_revision_surrogate,1.0,0.5024514719843864,0,,3.0,14.0,0.0,1.0,2.2572184071139416,1.0,0.16260823481717343,nan,1.0,0.0358893908560276
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,1,q1_revision_surrogate,1.0,0.4527132990770042,0,,1.0,14.0,0.0,1.0,0.9719562376821429,1.0,0.16916523076581205,nan,1.0,0.03233666421978602
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.5477742600487545,0,,5.0,14.0,0.0,1.0,0.9920434121755485,1.0,0.04244485054947122,nan,1.0,0.039126732860625325
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.4463123799068853,0,,3.0,13.0,0.13211320223868783,12.0,0.28198291341292997,0.0,0.14685304374093724,nan,3.0,0.03187945570763467
BMA,BMA_000018,BMA_000018,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,10,q1_revision_surrogate,1.0,0.45116255001630634,0,,4.0,14.0,0.2398283580165942,11.0,0.6269200019797715,0.0,0.052772335733381,nan,3.0,0.03222589642973617
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.45410322002135217,0,,2.0,11.0,0.05135633869678258,12.0,0.12926652640958236,0.0,0.08501061199679022,nan,3.0,0.03243594428723944
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.5452981109265238,0,,8.0,12.0,0.0,1.0,5.789194182741098,1.0,0.16335119113957408,nan,1.0,0.03894986506618027
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,5,q1_revision_surrogate,1.0,0.45855983498040587,0,,0.0,14.0,0.22790717771919577,9.0,0.6857915803474726,0.0,0.04645877551810824,nan,2.0,0.03275427392717185
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.45336795796174556,0,,2.0,14.0,0.6721628487728986,7.0,2.801107624500737,0.0,0.0711014173471618,nan,3.0,0.03238342556869611
