dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::2ce7bc222b5a2113,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,7,q1_revision_surrogate,1.0,3.784113205038011,0,,7.0,11.0,0.0,1.0,1.694400380560931,1.0,0.06625245846471618,nan,1.0,0.27029380035985795
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::2ce7bc222b5a2113,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,3,1,q1_revision_surrogate,1.0,3.572121116099879,0,,2.0,14.0,0.013084581072156265,3.0,0.036473964833290004,1.0,0.17221588935882845,nan,6.0,0.2551515082928485
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::2ce7bc222b5a2113,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,4,3,q1_revision_surrogate,1.0,3.7975562249775976,0,,1.0,14.0,0.009646215990975593,7.0,0.026719830055380374,0.0,0.13912628224758475,nan,4.0,0.2712540160698284
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::2ce7bc222b5a2113,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,3.725103933014907,0,,3.0,13.0,0.048142851896835315,12.0,0.10380211319889371,0.0,0.15288266939409903,nan,6.0,0.26607885235820766
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::2ce7bc222b5a2113,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,3.5837063209619373,0,,8.0,12.0,0.0,1.0,4.337671673542295,1.0,0.0824721233236303,nan,1.0,0.2559790229258527
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::2ce7bc222b5a2113,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,3.5299766439711675,0,,8.0,13.0,0.0,1.0,5.544412196743875,1.0,0.17519831800110997,nan,1.0,0.2521411888550834
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::2ce7bc222b5a2113,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,3.696069133002311,0,,8.0,12.0,0.0,1.0,5.150772184349813,1.0,0.13917494264979788,nan,1.0,0.26400493807159364
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::2ce7bc222b5a2113,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,5,q1_revision_surrogate,1.0,3.6111365420510992,0,,0.0,14.0,0.09831088584246883,9.0,0.2852134240942712,0.0,0.06610760838839003,nan,6.0,0.25793832443222137
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::2ce7bc222b5a2113,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,3.515463914955035,0,,2.0,14.0,0.7939212015279742,6.0,3.615508281373457,0.0,0.10316567666690386,nan,6.0,0.25110456535393105
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::2ce7bc222b5a2113,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,3.7295660889940336,0,,2.0,14.0,0.6481699224157391,7.0,2.655049940531602,0.0,0.07473301469648781,nan,6.0,0.2663975777852881
