dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,3,1,q1_revision_surrogate,1.0,1.364716581068933,0,,2.0,6.0,0.2744804871178139,8.0,0.9434861495778579,0.0,0.04936681400479409,nan,2.0,0.15163517567432588
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,8,7,q1_revision_surrogate,1.0,1.4799396849703044,0,,1.0,7.0,0.0,2.0,0.1582432532658792,1.0,0.007265058651014238,nan,2.0,0.16443774277447826
PBS,PBS_000011,PBS_000011,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,8,2,q1_revision_surrogate,1.0,1.406399357947521,0,,6.0,9.0,0.0,6.0,0.3260664936028563,0.0,0.05402153205754544,nan,1.0,0.1562665953275023
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,6,2,q1_revision_surrogate,1.0,2.513817746890709,0,,4.0,14.0,0.8082777664920024,8.0,3.0292859329719226,0.0,0.09965412481660481,nan,3.0,0.16758784979271393
PBS,PBS_000034,PBS_000034,0,trainval,val,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,2.4957310269819573,0,,8.0,12.0,0.0,1.0,5.320503779072886,1.0,0.05206205016339157,nan,1.0,0.16638206846546383
PBS,PBS_000037,PBS_000037,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,9,q1_revision_surrogate,1.0,2.4492859330493957,0,,9.0,13.0,0.0,1.0,6.886905840722148,1.0,0.11947641947299802,nan,1.0,0.1632857288699597
PBS,PBS_000068,PBS_000068,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,6,7,q1_revision_surrogate,1.0,2.4773202809737995,0,,1.0,11.0,0.18845674359019804,12.0,0.5841539757743465,0.0,0.03413133773464785,nan,1.0,0.16515468539825331
PBS,PBS_000071,PBS_000071,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,11,q1_revision_surrogate,1.0,2.5279860920272768,0,,11.0,15.0,0.0,3.0,4.720871690428069,1.0,0.043014685694983554,nan,1.0,0.16853240613515177
PBS,PBS_000073,PBS_000073,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,0,10,q1_revision_surrogate,1.0,2.5039828029694036,0,,10.0,15.0,0.0,2.0,6.589866640728577,3.0,0.06410856870813605,nan,1.0,0.1669321868646269
PBS,PBS_000075,PBS_000075,0,trainval,train,gp::2284a5adf84d2df5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}]}",cfm4,7,8,q1_revision_surrogate,1.0,2.552472942043096,0,,1.0,12.0,0.10244366082438339,13.0,0.3138312049030704,0.0,0.027201976758399065,nan,2.0,0.17016486280287305
