dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::1595417980b521c0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,9,1,q1_revision_surrogate,1.0,2.568570459028706,0,,8.0,7.0,0.26279808591546694,2.0,0.729146953142156,3.0,0.1271289280165912,nan,1.0,0.18346931850205042
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::1595417980b521c0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,8,5,q1_revision_surrogate,1.0,2.3367660719668493,0,,3.0,7.0,0.06143768061089161,5.0,0.1589208926944749,2.0,0.11073863690846321,nan,5.0,0.16691186228334637
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::1595417980b521c0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,13,9,q1_revision_surrogate,1.0,2.443944121012464,0,,4.0,13.0,0.0,4.0,0.6178567697494354,3.0,0.14617085823012133,nan,1.0,0.174567437215176
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::1595417980b521c0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,1,8,q1_revision_surrogate,1.0,2.421717416960746,0,,7.0,13.0,1.2047822609437693,5.0,3.581274832719386,1.0,0.1421131835823989,nan,1.0,0.17297981549719615
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::1595417980b521c0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,13,8,q1_revision_surrogate,1.0,2.5710649619577453,0,,5.0,13.0,0.0,5.0,0.19659714027528966,2.0,0.16949315184204305,nan,2.0,0.18364749728269608
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::1595417980b521c0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,12,8,q1_revision_surrogate,1.0,2.3980886469362304,0,,4.0,13.0,0.12023864355364122,7.0,0.2289982968718645,1.0,0.15854412003440463,nan,2.0,0.17129204620973074
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::1595417980b521c0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,13,8,q1_revision_surrogate,1.0,2.3771357890218496,0,,5.0,13.0,0.0,6.0,0.03173402111985817,2.0,0.15573184219376698,nan,2.0,0.1697954135015607
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::1595417980b521c0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,1,8,q1_revision_surrogate,1.0,2.349549203994684,0,,7.0,13.0,1.2733471650441104,7.0,4.160797577651463,1.0,0.16714162204131658,nan,1.0,0.16782494314247742
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::1595417980b521c0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,3,q1_revision_surrogate,1.0,2.408267516992055,0,,3.0,6.0,1.0126134682861785,3.0,4.203369907977654,2.0,0.21058679993672072,nan,2.0,0.17201910835657536
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::1595417980b521c0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,8,3,q1_revision_surrogate,1.0,2.412080831010826,0,,5.0,6.0,0.07506700642496134,8.0,0.208587236860008,1.0,0.17601946874689167,nan,3.0,0.1722914879293447
