dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::24c283f83df56f3a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,4,q1_revision_surrogate,1.0,5.656686706002802,0,,0.0,8.0,0.9897528113025762,3.0,1.3153453388649723,2.0,0.7107280381370227,nan,2.0,0.6285207451114224
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::24c283f83df56f3a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,3,1,q1_revision_surrogate,1.0,7.151945605990477,0,,2.0,9.0,1.114702581227298,3.0,1.3441659464977744,2.0,0.9516917226198532,nan,1.0,0.7946606228878308
PBS,PBS_000020,PBS_000020,0,trainval,train,gp::24c283f83df56f3a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,3,q1_revision_surrogate,1.0,15.952478438965045,0,,2.0,15.0,0.4336502813983695,3.0,0.9914640186208441,3.0,0.2231593646732673,nan,1.0,1.0634985625976696
PBS,PBS_000021,PBS_000021,0,trainval,train,gp::24c283f83df56f3a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,2,1,q1_revision_surrogate,1.0,4.432964615058154,0,,1.0,8.0,1.015376546317825,4.0,1.1058190798204268,1.0,0.8345530110617038,nan,1.0,0.49255162389535045
PBS,PBS_000022,PBS_000022,0,trainval,train,gp::24c283f83df56f3a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,2,6,q1_revision_surrogate,1.0,5.61367476801388,0,,4.0,8.0,0.6980275826821585,4.0,1.3190052626482363,1.0,0.24009416901876857,nan,1.0,0.623741640890431
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::24c283f83df56f3a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,2,q1_revision_surrogate,1.0,13.402094844030216,0,,2.0,14.0,0.06883133624102789,5.0,0.17724129007561726,2.0,0.0883633908372996,nan,2.0,0.8934729896020144
PBS,PBS_000038,PBS_000038,0,trainval,train,gp::24c283f83df56f3a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,10,3,q1_revision_surrogate,1.0,18.059123515035026,0,,7.0,7.0,0.371461144298161,6.0,0.9988956740127696,3.0,0.08045536979843705,nan,1.0,1.2039415676690017
PBS,PBS_000049,PBS_000049,0,trainval,train,gp::24c283f83df56f3a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,3,1,q1_revision_surrogate,1.0,8.538709133979864,0,,2.0,14.0,0.04348701492378659,5.0,0.09492090947802816,1.0,0.18947345640048024,nan,4.0,0.5692472755986576
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::24c283f83df56f3a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,4,3,q1_revision_surrogate,1.0,8.448951315018348,0,,1.0,8.0,0.6611201129747403,2.0,1.3161531211457695,4.0,0.34684607278240315,nan,1.0,0.5632634210012232
PBS,PBS_000076,PBS_000076,0,trainval,val,gp::24c283f83df56f3a,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,8,q1_revision_surrogate,1.0,9.405682960990816,0,,3.0,8.0,1.3672757662332615,2.0,3.052113371008239,3.0,0.42991747225366245,nan,1.0,0.6270455307327211
