dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,0,4,q1_revision_surrogate,1.0,4.120758173987269,0,,4.0,3.0,0.0,4.0,0.8115409874965278,2.0,0.21516969926245483,nan,1.0,0.45786201933191883
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,5,1,q1_revision_surrogate,1.0,5.480417233076878,0,,4.0,7.0,0.39433475441103305,2.0,1.1440940299537672,2.0,0.05772152355216955,nan,1.0,0.608935248119653
PBS,PBS_000020,PBS_000020,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,3,3,q1_revision_surrogate,1.0,12.240612566005439,0,,0.0,14.0,0.08092610846479154,4.0,0.1939747052017863,1.0,0.1275460873130118,nan,4.0,0.816040837733696
PBS,PBS_000021,PBS_000021,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,5,1,q1_revision_surrogate,1.0,3.1655109710991383,0,,4.0,4.0,0.8642049539029293,5.0,1.3487374239438372,1.0,0.5028908226314993,nan,1.0,0.35172344123323757
PBS,PBS_000022,PBS_000022,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,2,6,q1_revision_surrogate,1.0,4.067062288988382,0,,4.0,6.0,0.4298526648144524,6.0,0.8460950219513786,1.0,0.20320905552037158,nan,1.0,0.451895809887598
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,2,q1_revision_surrogate,1.0,13.676226955954917,0,,4.0,14.0,0.7854621110691367,8.0,2.8824968859559266,0.0,0.09667363360565556,nan,4.0,0.9117484637303278
PBS,PBS_000038,PBS_000038,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,3,q1_revision_surrogate,1.0,12.66057407995686,0,,3.0,14.0,0.8217899836176553,4.0,3.06314808612742,1.0,0.11040580894477264,nan,1.0,0.844038271997124
PBS,PBS_000049,PBS_000049,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,3,1,q1_revision_surrogate,1.0,7.786550340009853,0,,2.0,14.0,0.06652039459066938,5.0,0.14666067335387103,3.0,0.20615724401188443,nan,2.0,0.5191033560006569
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,5,3,q1_revision_surrogate,1.0,15.433072476065718,0,,2.0,15.0,0.18276697872168923,5.0,0.5420160721252679,1.0,0.05896864420287095,nan,2.0,1.0288714984043812
PBS,PBS_000076,PBS_000076,0,trainval,val,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,7,8,q1_revision_surrogate,1.0,8.665026445989497,0,,1.0,12.0,0.12768430964649258,8.0,0.3285653121170903,1.0,0.09235276919319764,nan,1.0,0.5776684297326331
TBF,TBF_000004,TBF_000004,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,1,7,q1_revision_surrogate,1.0,6.732220959034748,0,,6.0,13.0,1.0252126361380507,6.0,3.2101460648856968,1.0,0.11645054902936423,nan,2.0,0.4808729256453392
TBF,TBF_000057,TBF_000057,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,10,4,q1_revision_surrogate,1.0,5.080952555988915,0,,6.0,2.0,0.8566169048126822,8.0,3.28380548733692,2.0,0.13976702767342333,nan,1.0,0.36292518257063683
TBF,TBF_000059,TBF_000059,0,trainval,val,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,11,5,q1_revision_surrogate,1.0,5.675820889067836,0,,6.0,3.0,1.3299310465984453,3.0,4.080726278722552,2.0,0.3032041990872083,nan,1.0,0.4054157777905597
TBF,TBF_000067,TBF_000067,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,11,5,q1_revision_surrogate,1.0,5.948710358003154,0,,6.0,11.0,1.2006076126438048,3.0,3.3001742560425216,3.0,0.25255234637455426,nan,1.0,0.424907882714511
TBF,TBF_000080,TBF_000080,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,13,7,q1_revision_surrogate,1.0,5.848806975991465,0,,6.0,13.0,0.0,3.0,2.901039317152707,3.0,0.20205398485570603,nan,1.0,0.41777192685653325
