dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::fe1b8e128e1177a5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,1,q1_revision_surrogate,1.0,0.7632266900036484,0,,4.0,6.0,0.6099346291141535,2.0,1.3884445703127284,2.0,0.1560016915374442,nan,1.0,0.08480296555596094
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::fe1b8e128e1177a5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,8,7,q1_revision_surrogate,1.0,0.7493426220025867,0,,1.0,7.0,0.0,8.0,0.11837273924586125,0.0,0.008030045932705005,nan,2.0,0.08326029133362074
PBS,PBS_000011,PBS_000011,0,trainval,train,gp::fe1b8e128e1177a5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,2,q1_revision_surrogate,1.0,0.6751140230335295,0,,4.0,9.0,0.7596745341334019,5.0,1.3291703748440609,0.0,0.21748244939906552,nan,1.0,0.07501266922594772
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::fe1b8e128e1177a5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,2,q1_revision_surrogate,1.0,1.3473969750339165,0,,4.0,14.0,0.798558758052478,9.0,3.309659868892808,0.0,0.08336374875871135,nan,3.0,0.0898264650022611
PBS,PBS_000034,PBS_000034,0,trainval,val,gp::fe1b8e128e1177a5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,10,8,q1_revision_surrogate,1.0,1.1591405590297654,0,,2.0,13.0,0.34714015652548247,5.0,0.9151038088511233,1.0,0.10294753920759099,nan,1.0,0.07727603726865102
PBS,PBS_000037,PBS_000037,0,trainval,train,gp::fe1b8e128e1177a5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,9,q1_revision_surrogate,1.0,1.263809462892823,0,,9.0,12.0,0.0,2.0,4.328936448740998,1.0,0.06803164091674332,nan,1.0,0.08425396419285486
PBS,PBS_000068,PBS_000068,0,trainval,train,gp::fe1b8e128e1177a5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,7,q1_revision_surrogate,1.0,1.1079272950300947,0,,1.0,11.0,0.17087092476170151,12.0,0.5314495750796567,0.0,0.03378462515461392,nan,2.0,0.07386181966867297
PBS,PBS_000071,PBS_000071,0,trainval,train,gp::fe1b8e128e1177a5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,11,q1_revision_surrogate,1.0,1.242690385086462,0,,11.0,15.0,0.0,3.0,1.9334577587774615,1.0,0.06659751519355633,nan,1.0,0.0828460256724308
PBS,PBS_000073,PBS_000073,0,trainval,train,gp::fe1b8e128e1177a5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,10,q1_revision_surrogate,1.0,1.2882413959596306,0,,10.0,14.0,0.0,2.0,6.489695316286828,1.0,0.06216962141202941,nan,1.0,0.08588275973064204
PBS,PBS_000075,PBS_000075,0,trainval,train,gp::fe1b8e128e1177a5,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.2195725360652432,0,,8.0,13.0,0.0,1.0,3.340132278755279,2.0,0.28259394730556475,nan,1.0,0.08130483573768288
