dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBF,TBF_000023,TBF_000023,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,11,5,q1_revision_surrogate,1.0,0.5031919609755278,0,,6.0,13.0,1.1916594679526855,3.0,3.7359445746518025,2.0,0.2277268528333786,nan,1.0,0.03594228292682341
TBF,TBF_000027,TBF_000027,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,6,q1_revision_surrogate,1.0,0.5012249749852344,0,,0.0,14.0,0.35766070895751867,4.0,0.968915881480869,3.0,0.12030859527067145,nan,1.0,0.03580178392751675
TBF,TBF_000029,TBF_000029,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,12,6,q1_revision_surrogate,1.0,0.4038546869996935,0,,6.0,2.0,1.040776913641935,3.0,6.551280855064935,2.0,0.11735199767363236,nan,1.0,0.028846763357120966
TBF,TBF_000039,TBF_000039,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,13,6,q1_revision_surrogate,1.0,0.4076630009803921,0,,7.0,13.0,0.0,2.0,0.07129876212105486,3.0,0.2996888983222436,nan,2.0,0.029118785784313723
TBF,TBF_000043,TBF_000043,0,trainval,val,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,11,5,q1_revision_surrogate,1.0,0.5092944349162281,0,,6.0,2.0,0.9605527460619482,5.0,4.375958053163006,1.0,0.13140957999265532,nan,1.0,0.03637817392258772
TBF,TBF_000056,TBF_000056,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,11,6,q1_revision_surrogate,1.0,0.4796321949688718,0,,5.0,2.0,1.1036235588338648,4.0,4.131381903374845,2.0,0.16797910851666517,nan,1.0,0.03425944249777656
TBF,TBF_000074,TBF_000074,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,2,6,q1_revision_surrogate,1.0,0.41795728995930403,0,,4.0,13.0,0.38930252939893517,6.0,0.802210964392552,1.0,0.09194861160983986,nan,1.0,0.02985409213995029
TBF,TBF_000119,TBF_000119,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,0.41539924091193825,0,,1.0,14.0,0.34843620305011636,5.0,0.7709196375209032,2.0,0.2861239002937405,nan,1.0,0.029671374350852733
TBF,TBF_000153,TBF_000153,0,trainval,val,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,11,5,q1_revision_surrogate,1.0,0.5009746580617502,0,,6.0,13.0,0.13484594420533458,4.0,0.2769945795779957,2.0,0.23816926385216228,nan,2.0,0.03578390414726788
TBF,TBF_000175,TBF_000175,0,trainval,train,gp::67029addad0a2d48,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""identity"", ""params"": {}}]}",cfm4,10,4,q1_revision_surrogate,1.0,0.4964920920319855,0,,6.0,14.0,1.0845023243464778,3.0,2.371369406639712,1.0,0.3276287974410265,nan,1.0,0.03546372085942754
