dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000004,BMA_000004,0,trainval,val,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,3,7,q1_revision_surrogate,1.0,5.0619561690837145,0,,4.0,12.0,0.11856457492315875,4.0,0.456156302135908,3.0,0.06356184190127018,nan,2.0,0.3615682977916939
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,3,q1_revision_surrogate,1.0,5.067470073001459,0,,8.0,13.0,0.11078485477370625,5.0,0.24257547250581823,2.0,0.19125507545502984,nan,2.0,0.3619621480715328
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,12,1,q1_revision_surrogate,1.0,5.086814449983649,0,,11.0,13.0,0.2652022169159878,9.0,0.6416585147834546,1.0,0.09455599298608064,nan,1.0,0.36334388928454636
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,8,5,q1_revision_surrogate,1.0,5.3333137889858335,0,,3.0,5.0,0.3684630100280386,7.0,1.074301731691399,1.0,0.11471890939498643,nan,1.0,0.3809509849275595
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,3,9,q1_revision_surrogate,1.0,5.2769578490406275,0,,6.0,13.0,0.09986549939043421,5.0,0.16733635791221776,3.0,0.37401882195410535,nan,2.0,0.3769255606457591
BMA,BMA_000018,BMA_000018,0,trainval,val,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,5,10,q1_revision_surrogate,1.0,5.225584905012511,0,,5.0,14.0,0.5462075505548863,4.0,1.3483651850325606,1.0,0.1746385436387875,nan,1.0,0.3732560646437508
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,6,8,q1_revision_surrogate,1.0,5.092483727959916,0,,2.0,11.0,0.21117395560312513,3.0,0.844410446031577,3.0,0.07291866225751942,nan,1.0,0.3637488377114226
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,4,8,q1_revision_surrogate,1.0,5.010570393060334,0,,4.0,13.0,0.19113096485844128,3.0,0.43504955279664315,3.0,0.19886636036117325,nan,1.0,0.3578978852185953
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,12,5,q1_revision_surrogate,1.0,5.37233857694082,0,,7.0,13.0,0.50460170962225,3.0,0.8217769365014128,4.0,0.30980391851760586,nan,2.0,0.3837384697814871
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,10,3,q1_revision_surrogate,1.0,5.161878847982734,0,,7.0,14.0,0.4862476535736955,4.0,1.522669182256174,3.0,0.0804624108720307,nan,1.0,0.36870563199876677
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,3,4,q1_revision_surrogate,1.0,3.3982136209961027,0,,1.0,2.0,1.0849759396384013,7.0,3.881527277621291,0.0,0.22501918388265696,nan,1.0,0.3775792912217892
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,7,q1_revision_surrogate,1.0,3.2143607730977237,0,,5.0,8.0,0.3237250370430307,3.0,0.8050254850743399,2.0,0.12522635231593815,nan,1.0,0.3571511970108582
PBS,PBS_000028,PBS_000028,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,3,9,q1_revision_surrogate,1.0,5.602550199953839,0,,6.0,12.0,0.24596274652949035,6.0,0.6424487432284108,1.0,0.13273955568561122,nan,1.0,0.37350334666358925
PBS,PBS_000040,PBS_000040,0,trainval,val,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,14,3,q1_revision_surrogate,1.0,5.30137060105335,0,,11.0,15.0,0.0,1.0,0.14444064599079223,4.0,0.07338092995260753,nan,3.0,0.35342470673688997
PBS,PBS_000041,PBS_000041,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,0,3,q1_revision_surrogate,1.0,5.708292257972062,0,,3.0,15.0,0.0,1.0,1.7474789713646073,4.0,0.21650207346927738,nan,1.0,0.38055281719813744
PBS,PBS_000047,PBS_000047,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,6,2,q1_revision_surrogate,1.0,5.352973877917975,0,,4.0,14.0,0.8968051380158514,4.0,2.986301747039692,2.0,0.230175643161862,nan,2.0,0.35686492519453167
PBS,PBS_000050,PBS_000050,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,1,5,q1_revision_surrogate,1.0,5.538136511924677,0,,4.0,15.0,0.2848558836285875,2.0,0.78607712694763,2.0,0.10683116393953443,nan,1.0,0.36920910079497843
PBS,PBS_000057,PBS_000057,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,6,8,q1_revision_surrogate,1.0,5.66503273206763,0,,2.0,13.0,0.2315286909488531,8.0,0.8566702713102746,1.0,0.03545155025412795,nan,1.0,0.37766884880450863
PBS,PBS_000058,PBS_000058,0,trainval,train,gp::493d1becc5643aa3,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,2,9,q1_revision_surrogate,1.0,5.625722089083865,0,,7.0,14.0,1.0649857187508736,6.0,3.9840417514918385,3.0,0.2244431320378748,nan,1.0,0.37504813927225766
