dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,3,1,q1_revision_surrogate,1.0,0.3028721089940518,0,,2.0,6.0,0.31457188620170307,8.0,0.8624927660730224,0.0,0.06036929693106019,nan,1.0,0.03365245655489465
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,8,7,q1_revision_surrogate,1.0,0.2996190529083833,0,,1.0,7.0,0.0,2.0,0.060645272855476016,1.0,0.008587000932672161,nan,2.0,0.03329100587870926
PBS,PBS_000011,PBS_000011,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,8,2,q1_revision_surrogate,1.0,0.31237977696582675,0,,6.0,9.0,0.0,6.0,0.28348636714757786,0.0,0.05776896857752322,nan,1.0,0.03470886410731408
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,2,q1_revision_surrogate,1.0,0.7086714130127802,0,,4.0,14.0,0.8035420284426803,8.0,2.9798163001672715,0.0,0.09973856181770044,nan,4.0,0.047244760867518686
PBS,PBS_000034,PBS_000034,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.5128061620052904,0,,8.0,12.0,0.0,1.0,5.317700584052993,1.0,0.0539531897985519,nan,1.0,0.03418707746701936
PBS,PBS_000037,PBS_000037,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,9,q1_revision_surrogate,1.0,0.5371811499353498,0,,9.0,13.0,0.0,1.0,6.862147336483211,1.0,0.11903688507623393,nan,1.0,0.035812076662356654
PBS,PBS_000068,PBS_000068,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,7,q1_revision_surrogate,1.0,0.5128619159804657,0,,1.0,11.0,0.1815616807081074,12.0,0.5631125428794153,0.0,0.03366837750363089,nan,1.0,0.03419079439869772
PBS,PBS_000071,PBS_000071,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,11,q1_revision_surrogate,1.0,0.7023793499683961,0,,11.0,15.0,0.0,3.0,4.7969781860483645,1.0,0.04208728460448178,nan,1.0,0.04682528999789307
PBS,PBS_000073,PBS_000073,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,10,q1_revision_surrogate,1.0,0.5104023609310389,0,,10.0,15.0,0.0,2.0,6.580474718989525,3.0,0.0630076195593985,nan,1.0,0.03402682406206926
PBS,PBS_000075,PBS_000075,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,7,8,q1_revision_surrogate,1.0,0.5161456170026213,0,,1.0,12.0,0.09180582356478306,13.0,0.27882070851724844,0.0,0.027928744902451005,nan,2.0,0.03440970780017475
