dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::2f695899df69aaf2,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,6,q1_revision_surrogate,1.0,1.7181664719246328,0,,1.0,2.0,0.7232654616384175,9.0,2.5539540298025667,0.0,0.12228168284056717,nan,1.0,0.17181664719246328
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::2f695899df69aaf2,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.7615530219627544,0,,1.0,2.0,0.9574062114485302,7.0,3.92580847498416,1.0,0.15531887857203874,nan,1.0,0.17615530219627545
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::2f695899df69aaf2,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.6891354750841856,0,,1.0,3.0,0.6776953380657504,9.0,2.050583654046918,0.0,0.09238787036143149,nan,1.0,0.16891354750841855
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::2f695899df69aaf2,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.6777315119979903,0,,1.0,2.0,1.172286237904188,4.0,3.9595473368785252,1.0,0.2632041407028933,nan,1.0,0.16777315119979902
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::2f695899df69aaf2,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.6218174350215122,0,,1.0,4.0,0.05619097455832156,6.0,0.11789264561951543,1.0,0.10150431933433723,nan,3.0,0.16218174350215123
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::2f695899df69aaf2,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.8266709790332243,0,,1.0,5.0,0.5130186847852464,4.0,0.9827030939389428,2.0,0.16667536729531318,nan,2.0,0.18266709790332242
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::2f695899df69aaf2,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,7,5,q1_revision_surrogate,1.0,1.7748124100035056,0,,2.0,5.0,0.7651236025237296,3.0,1.8248821247604217,2.0,0.19213149751939246,nan,1.0,0.17748124100035056
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::2f695899df69aaf2,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.9313301750225946,0,,1.0,1.0,1.585286295151363,4.0,7.014803420546957,2.0,0.5011991819821562,nan,1.0,0.19313301750225947
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::2f695899df69aaf2,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.7066438848851249,0,,1.0,1.0,1.454510195230825,5.0,7.100137693562352,2.0,0.3638979879967608,nan,1.0,0.17066438848851248
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::2f695899df69aaf2,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}]}",cfm4,6,5,q1_revision_surrogate,1.0,1.707185748964548,0,,1.0,1.0,1.3706719317471676,3.0,5.025013281351503,2.0,0.3579610109407552,nan,1.0,0.1707185748964548
