dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,7,q1_revision_surrogate,1.0,0.5839004840236157,0,,7.0,11.0,0.0,1.0,3.0499956852099332,1.0,0.05713804413313601,nan,1.0,0.041707177430258265
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,5,1,q1_revision_surrogate,1.0,0.597547686076723,0,,4.0,14.0,1.0385716877134508,5.0,5.332582070892266,0.0,0.18123160348236036,nan,2.0,0.04268197757690879
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,3,q1_revision_surrogate,1.0,0.696942814043723,0,,3.0,14.0,0.0,1.0,2.153541394083267,1.0,0.1611269254826526,nan,1.0,0.04978162957455164
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.6674204849405214,0,,3.0,13.0,0.1837307013172902,12.0,0.40997846628346013,0.0,0.12313861061845698,nan,3.0,0.04767289178146582
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.5675660530105233,0,,8.0,12.0,0.0,1.0,5.217490620545985,1.0,0.09772073128949454,nan,1.0,0.04054043235789452
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.5821789890760556,0,,8.0,12.0,0.0,1.0,5.794518290165851,1.0,0.1602538373320425,nan,1.0,0.041584213505432545
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.6680410410044715,0,,8.0,12.0,0.0,1.0,5.78452656644768,1.0,0.14688486900857764,nan,1.0,0.047717217214605104
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,5,5,q1_revision_surrogate,1.0,0.6295747410040349,0,,0.0,14.0,0.24279305568331833,9.0,0.7347398078986208,0.0,0.04480691324143221,nan,2.0,0.044969624357431064
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.5627937769750133,0,,2.0,14.0,0.8267771968200218,7.0,3.769372068166702,0.0,0.10363207412583963,nan,3.0,0.04019955549821524
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.6747262780554593,0,,2.0,14.0,0.6969195891340455,7.0,2.968129877282466,0.0,0.07500853533241536,nan,3.0,0.04819473414681852
