dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,2,6,q1_revision_surrogate,1.0,1.750654527102597,0,,4.0,10.0,0.04598651659766273,6.0,0.08545854661121927,0.0,0.2565469717477181,nan,5.0,0.1750654527102597
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,1.4587680159602314,0,,5.0,10.0,0.0,6.0,0.10721293828137819,0.0,0.2657740821762733,nan,2.0,0.14587680159602315
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,2,5,q1_revision_surrogate,1.0,1.6308513180119917,0,,3.0,10.0,0.037877740877026334,5.0,0.06779349856484226,0.0,0.2079887276542602,nan,4.0,0.16308513180119916
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,9,5,q1_revision_surrogate,1.0,1.5537638789974153,0,,4.0,10.0,0.0,3.0,0.5997316162356268,2.0,0.4472032881355539,nan,1.0,0.15537638789974154
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,1.5003543950151652,0,,5.0,10.0,0.0,6.0,0.14423531066521517,0.0,0.15835037193955365,nan,2.0,0.15003543950151652
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,2,5,q1_revision_surrogate,1.0,1.4938669810071588,0,,3.0,10.0,0.03949435140709612,5.0,0.07241257628164875,1.0,0.24438710690570056,nan,4.0,0.14938669810071586
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,2,5,q1_revision_surrogate,1.0,1.6297225500456989,0,,3.0,10.0,0.08261431231959482,5.0,0.15675292837791255,0.0,0.19350493143681388,nan,3.0,0.16297225500456988
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,3,5,q1_revision_surrogate,1.0,1.5040240570669994,0,,2.0,10.0,0.01991630117322085,5.0,0.034490239740312366,0.0,0.5222194917567434,nan,6.0,0.15040240570669994
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,2,5,q1_revision_surrogate,1.0,1.4237357389647514,0,,3.0,10.0,0.08468966090865448,3.0,0.15414935638125665,2.0,0.5110384429556691,nan,2.0,0.14237357389647515
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,1.5363897560164332,0,,5.0,10.0,0.0,6.0,0.13639902171739615,0.0,0.368349795494833,nan,2.0,0.15363897560164333
