dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBF,TBF_000023,TBF_000023,0,trainval,train,gp::7dfde7ba242a3b29,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,5,q1_revision_surrogate,1.0,6.875724246958271,0,,6.0,4.0,0.5698890095854555,3.0,1.160140515827441,4.0,0.18688601010864891,nan,1.0,0.4911231604970193
TBF,TBF_000027,TBF_000027,0,trainval,train,gp::7dfde7ba242a3b29,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,6,q1_revision_surrogate,1.0,7.337807520059869,0,,3.0,12.0,0.43647025165191133,7.0,0.991978751866333,2.0,0.0799270019959063,nan,1.0,0.5241291085757049
TBF,TBF_000029,TBF_000029,0,trainval,train,gp::7dfde7ba242a3b29,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,12,6,q1_revision_surrogate,1.0,7.050884456024505,0,,6.0,5.0,0.1882533227667592,5.0,0.8339780415818497,2.0,0.03739037203915492,nan,2.0,0.5036346040017504
TBF,TBF_000039,TBF_000039,0,trainval,train,gp::7dfde7ba242a3b29,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,6,q1_revision_surrogate,1.0,7.1210307269357145,0,,5.0,4.0,0.10755555301534192,7.0,0.2738576301555271,1.0,0.06133080523503248,nan,2.0,0.5086450519239796
TBF,TBF_000043,TBF_000043,0,trainval,val,gp::7dfde7ba242a3b29,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,11,5,q1_revision_surrogate,1.0,7.066368124913424,0,,6.0,4.0,0.9245142457954885,7.0,3.390847749006482,2.0,0.13806859963430637,nan,1.0,0.5047405803509589
TBF,TBF_000056,TBF_000056,0,trainval,train,gp::7dfde7ba242a3b29,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,10,6,q1_revision_surrogate,1.0,7.316562499036081,0,,4.0,5.0,0.19567801472962698,10.0,0.486410026855576,1.0,0.04456688648677881,nan,1.0,0.5226116070740058
TBF,TBF_000074,TBF_000074,0,trainval,train,gp::7dfde7ba242a3b29,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,12,6,q1_revision_surrogate,1.0,7.223241308936849,0,,6.0,5.0,0.45249647475942234,6.0,1.4779800585816272,2.0,0.13251134920883428,nan,4.0,0.5159458077812035
TBF,TBF_000119,TBF_000119,0,trainval,train,gp::7dfde7ba242a3b29,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,10,5,q1_revision_surrogate,1.0,7.209807301987894,0,,5.0,10.0,0.09384787164090069,9.0,0.19106335775073327,2.0,0.13993928968354788,nan,3.0,0.5149862358562781
TBF,TBF_000153,TBF_000153,0,trainval,val,gp::7dfde7ba242a3b29,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,9,5,q1_revision_surrogate,1.0,7.082693857955746,0,,4.0,4.0,0.3961422703394689,8.0,1.2236826619987722,1.0,0.08428130639797855,nan,1.0,0.5059067041396962
TBF,TBF_000175,TBF_000175,0,trainval,train,gp::7dfde7ba242a3b29,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}]}",cfm4,10,4,q1_revision_surrogate,1.0,6.872699077008292,0,,6.0,4.0,0.5658864770613778,8.0,1.6552972876587408,2.0,0.0902273962149084,nan,2.0,0.49090707692916374
