dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::29f00f9f28561f59,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,2,1,q1_revision_surrogate,1.0,1.5421949289739132,0,,1.0,6.0,0.04131901599096577,7.0,0.12340441862254951,0.0,0.02669127699717169,nan,4.0,0.1713549921082126
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::29f00f9f28561f59,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,8,7,q1_revision_surrogate,1.0,1.6072083510225639,0,,1.0,7.0,0.0,8.0,0.19355024403934382,0.0,0.005009050710784659,nan,2.0,0.17857870566917378
PBS,PBS_000011,PBS_000011,0,trainval,train,gp::29f00f9f28561f59,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,8,2,q1_revision_surrogate,1.0,1.62246322107967,0,,6.0,9.0,0.0,6.0,0.3055502345422939,0.0,0.05286870527348496,nan,1.0,0.18027369123107442
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::29f00f9f28561f59,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,2,q1_revision_surrogate,1.0,2.8120492619927973,0,,4.0,14.0,0.8106866351432342,8.0,3.024225362424406,0.0,0.1007869932041797,nan,3.0,0.1874699507995198
PBS,PBS_000034,PBS_000034,0,trainval,val,gp::29f00f9f28561f59,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,2.7977488229516894,0,,8.0,12.0,0.0,1.0,5.4460753254162055,1.0,0.05601754586065393,nan,1.0,0.1865165881967793
PBS,PBS_000037,PBS_000037,0,trainval,train,gp::29f00f9f28561f59,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,9,q1_revision_surrogate,1.0,2.7348179679829627,0,,9.0,13.0,0.0,1.0,6.88240488090104,1.0,0.1174931455669633,nan,1.0,0.18232119786553086
PBS,PBS_000068,PBS_000068,0,trainval,train,gp::29f00f9f28561f59,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,7,q1_revision_surrogate,1.0,2.8248410280793905,0,,1.0,11.0,0.1897648511596225,12.0,0.5877373464959789,0.0,0.03372878048650682,nan,1.0,0.1883227352052927
PBS,PBS_000071,PBS_000071,0,trainval,train,gp::29f00f9f28561f59,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,11,q1_revision_surrogate,1.0,2.7507301319856197,0,,11.0,15.0,0.0,3.0,4.884072743875051,1.0,0.04326188465902196,nan,1.0,0.18338200879904132
PBS,PBS_000073,PBS_000073,0,trainval,train,gp::29f00f9f28561f59,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,10,q1_revision_surrogate,1.0,2.7664637269917876,0,,10.0,15.0,0.0,2.0,6.753965973390682,2.0,0.06220079468433453,nan,1.0,0.18443091513278584
PBS,PBS_000075,PBS_000075,0,trainval,train,gp::29f00f9f28561f59,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,7,8,q1_revision_surrogate,1.0,2.745018459041603,0,,1.0,12.0,0.10019914699569377,13.0,0.2999256469813819,0.0,0.029768671167492624,nan,2.0,0.18300123060277354
