dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::9a7ddac730d1b2ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,7,3,q1_revision_surrogate,1.0,1.9618747920030728,0,,4.0,8.0,0.38467027231786954,4.0,1.21948251600289,3.0,0.07951664278545696,nan,1.0,0.1401339137145052
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::9a7ddac730d1b2ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,10,1,q1_revision_surrogate,1.0,1.831292960094288,0,,9.0,12.0,0.38275188303009755,5.0,0.857411996921823,3.0,0.16790051379353324,nan,1.0,0.13080664000673486
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::9a7ddac730d1b2ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,1,q1_revision_surrogate,1.0,1.7815407699672505,0,,12.0,10.0,0.0,1.0,3.3635128486853594,4.0,0.09204403267811644,nan,1.0,0.1272529121405179
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::9a7ddac730d1b2ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,2,10,q1_revision_surrogate,1.0,1.9137328600045294,0,,8.0,7.0,1.183721773961425,4.0,4.229323952328574,2.0,0.2070821917303425,nan,1.0,0.13669520428603782
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::9a7ddac730d1b2ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,9,q1_revision_surrogate,1.0,1.8469162079272792,0,,3.0,2.0,0.7274092959563819,2.0,2.9526772073039287,3.0,0.15414566985912495,nan,1.0,0.13192258628051995
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::9a7ddac730d1b2ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,1,9,q1_revision_surrogate,1.0,1.8991645469795913,0,,8.0,11.0,0.8546971532958252,3.0,1.3797165977779011,4.0,0.4662176772729975,nan,1.0,0.13565461049854224
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::9a7ddac730d1b2ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,1.7882174579426646,0,,8.0,14.0,0.0,4.0,1.7970341903444087,3.0,0.14905933868997573,nan,1.0,0.12772981842447603
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::9a7ddac730d1b2ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,8,q1_revision_surrogate,1.0,1.9170518920291215,0,,4.0,12.0,0.6025941678177228,6.0,1.3931313294196677,3.0,0.22194027802424207,nan,1.0,0.1369322780020801
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::9a7ddac730d1b2ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,8,q1_revision_surrogate,1.0,1.864643421024084,0,,4.0,13.0,0.5819916603079343,2.0,0.9281991643129024,5.0,0.5548343606519343,nan,2.0,0.13318881578743458
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::9a7ddac730d1b2ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,8,q1_revision_surrogate,1.0,1.8854217230109498,0,,4.0,9.0,1.2990661437561688,4.0,3.5568378188909744,2.0,0.35852669117211405,nan,1.0,0.13467298021506785
