dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,7,q1_revision_surrogate,1.0,0.4713056889595464,0,,7.0,11.0,0.0,1.0,3.041997370710347,1.0,0.05806971642021489,nan,1.0,0.033664692068539025
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,1,q1_revision_surrogate,1.0,0.5270827079657465,0,,4.0,14.0,1.041459541340985,5.0,5.302615645495833,0.0,0.18242363450219098,nan,2.0,0.03764876485469618
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,3,q1_revision_surrogate,1.0,0.6488187899813056,0,,3.0,14.0,0.0,1.0,2.2572184071139416,1.0,0.16260823481717343,nan,1.0,0.046344199284378974
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.6113125049741939,0,,3.0,13.0,0.18029601878768042,12.0,0.4041287990079952,0.0,0.1220809145072534,nan,3.0,0.04366517892672813
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.5333415999775752,0,,8.0,12.0,0.0,1.0,5.235462495636334,1.0,0.1020663642381734,nan,1.0,0.0380958285698268
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.6607476189965382,0,,8.0,12.0,0.0,1.0,5.789194182741098,1.0,0.16335119113957408,nan,1.0,0.04719625849975273
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.5168183069908991,0,,8.0,12.0,0.0,1.0,5.8102571078653495,1.0,0.15420733310732104,nan,1.0,0.0369155933564928
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,5,q1_revision_surrogate,1.0,0.5305065319407731,0,,0.0,14.0,0.22790717771919577,9.0,0.6857915803474726,0.0,0.04645877551810824,nan,2.0,0.03789332371005522
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.6265466359909624,0,,2.0,14.0,0.8095637567638054,7.0,3.6407773809033834,0.0,0.09938999658022496,nan,3.0,0.0447533311422116
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::10c8876ccee212e7,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.6224330490222201,0,,2.0,14.0,0.6721628487728986,7.0,2.801107624500737,0.0,0.0711014173471618,nan,3.0,0.04445950350158715
