dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,1,q1_revision_surrogate,1.0,6.166212829062715,0,,1.0,14.0,0.0,1.0,0.9215450137588673,1.0,0.1689048880582956,nan,1.0,0.44044377350447966
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,5,q1_revision_surrogate,1.0,4.514944914029911,0,,5.0,14.0,0.0,1.0,1.0344082996205397,1.0,0.04237679087332108,nan,1.0,0.3224960652878508
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,6,9,q1_revision_surrogate,1.0,4.544215817004442,0,,3.0,13.0,0.13186543530187966,12.0,0.27835671379355814,0.0,0.14765297438408626,nan,3.0,0.3245868440717459
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,4.617309981025755,0,,8.0,12.0,0.0,1.0,5.794518290165851,1.0,0.1602538373320425,nan,1.0,0.32980785578755395
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,4.57747463893611,0,,8.0,12.0,0.0,1.0,5.886780916255146,1.0,0.127923740861243,nan,1.0,0.32696247420972213
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,6,8,q1_revision_surrogate,1.0,4.6465753429802135,0,,2.0,12.0,0.06413201820483849,12.0,0.16382086615485328,0.0,0.07517165174754098,nan,3.0,0.33189823878430097
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,4.276158498018049,0,,8.0,12.0,0.0,1.0,5.286835787409855,1.0,0.10985437154098661,nan,1.0,0.3054398927155749
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,4.357832196052186,0,,8.0,12.0,0.0,1.0,5.78452656644768,1.0,0.14688486900857764,nan,1.0,0.3112737282894419
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,4.255947355995886,0,,2.0,14.0,0.7486803416118168,8.0,3.25396924489595,0.0,0.08699756921187662,nan,3.0,0.30399623971399187
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,4.361942879972048,0,,2.0,14.0,0.8267771968200218,7.0,3.769372068166702,0.0,0.10363207412583963,nan,3.0,0.311567348569432
TBF,TBF_000005,TBF_000005,0,trainval,val,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,12,6,q1_revision_surrogate,1.0,2.3977114600129426,0,,6.0,13.0,0.6807162886077286,3.0,2.3551359840780903,2.0,0.10180549011473912,nan,1.0,0.17126510428663874
TBF,TBF_000022,TBF_000022,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,3,6,q1_revision_surrogate,1.0,2.1946155560435727,0,,3.0,14.0,0.23513878854266201,5.0,0.5929998509189685,1.0,0.06915113957427128,nan,2.0,0.15675825400311233
TBF,TBF_000023,TBF_000023,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,11,5,q1_revision_surrogate,1.0,2.88381222600583,0,,6.0,13.0,1.1916594679526855,3.0,3.7359445746518025,2.0,0.2277268528333786,nan,1.0,0.205986587571845
TBF,TBF_000027,TBF_000027,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,6,6,q1_revision_surrogate,1.0,2.205599752953276,0,,0.0,14.0,0.35766070895751867,4.0,0.968915881480869,3.0,0.12030859527067145,nan,1.0,0.15754283949666256
TBF,TBF_000094,TBF_000094,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,12,7,q1_revision_surrogate,1.0,2.0375117080984637,0,,5.0,13.0,1.2769116845845132,2.0,4.619493198311626,3.0,0.28523346044388614,nan,1.0,0.14553655057846168
TBF,TBF_000118,TBF_000118,0,trainval,train,gp::dd280d6e9110d993,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,11,5,q1_revision_surrogate,1.0,2.017121342010796,0,,6.0,2.0,0.8740369861794243,4.0,2.143527320599675,4.0,0.2137756785587047,nan,1.0,0.144080095857914
