dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBF,TBF_000023,TBF_000023,0,trainval,train,gp::da1488453f6019ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,5,5,q1_revision_surrogate,1.0,5.294896046980284,0,,0.0,14.0,0.776800957660572,5.0,1.3526822162451742,3.0,0.34695810589413334,nan,1.0,0.3782068604985917
TBF,TBF_000027,TBF_000027,0,trainval,train,gp::da1488453f6019ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,2,6,q1_revision_surrogate,1.0,5.089372526970692,0,,4.0,14.0,0.6927883629303578,3.0,1.0910177976263549,4.0,0.4405447915789311,nan,1.0,0.36352660906933515
TBF,TBF_000029,TBF_000029,0,trainval,train,gp::da1488453f6019ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,12,6,q1_revision_surrogate,1.0,5.012384548899718,0,,6.0,2.0,1.1999852209259574,3.0,7.137491957724032,4.0,0.16773108838492043,nan,1.0,0.35802746777855127
TBF,TBF_000039,TBF_000039,0,trainval,train,gp::da1488453f6019ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,9,6,q1_revision_surrogate,1.0,5.1446749930037186,0,,3.0,13.0,0.6019367817077282,7.0,1.4414409650821456,2.0,0.13221108010161722,nan,1.0,0.36747678521455135
TBF,TBF_000043,TBF_000043,0,trainval,val,gp::da1488453f6019ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,11,5,q1_revision_surrogate,1.0,5.167754286085255,0,,6.0,2.0,0.9445708698193787,5.0,3.301426007369102,2.0,0.1573366901965221,nan,1.0,0.36912530614894684
TBF,TBF_000056,TBF_000056,0,trainval,train,gp::da1488453f6019ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,12,6,q1_revision_surrogate,1.0,5.290919057093561,0,,6.0,13.0,1.1958596055068713,3.0,2.502268503626893,2.0,0.33638182183362475,nan,1.0,0.3779227897923972
TBF,TBF_000074,TBF_000074,0,trainval,train,gp::da1488453f6019ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,11,6,q1_revision_surrogate,1.0,5.042241896968335,0,,5.0,12.0,0.8332873360457507,4.0,1.7175705620135513,4.0,0.30290886846704024,nan,1.0,0.36016013549773823
TBF,TBF_000119,TBF_000119,0,trainval,train,gp::da1488453f6019ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,8,5,q1_revision_surrogate,1.0,4.971678031026386,0,,3.0,13.0,0.5573065831922484,3.0,0.8311059230831438,4.0,0.49992102043302616,nan,1.0,0.35511985935902757
TBF,TBF_000153,TBF_000153,0,trainval,val,gp::da1488453f6019ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,10,5,q1_revision_surrogate,1.0,5.109884837991558,0,,5.0,12.0,0.7733316648802344,4.0,1.6159745311364822,3.0,0.24475274338340017,nan,2.0,0.36499177414225414
TBF,TBF_000175,TBF_000175,0,trainval,train,gp::da1488453f6019ee,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gamma_correction"", ""params"": {""gamma"": 1.0}}]}",cfm4,0,4,q1_revision_surrogate,1.0,5.295524160028435,0,,4.0,14.0,0.0,1.0,2.4310462252263743,3.0,0.40772178610849535,nan,1.0,0.3782517257163168
