dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::ecb26e04a3a35e55,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,4,1,q1_revision_surrogate,1.0,1.2551398560171947,0,,3.0,14.0,0.1979008566048187,4.0,0.5542311989971894,1.0,0.1265793629397952,nan,1.0,0.08965284685837105
BMA,BMA_000014,BMA_000014,0,trainval,train,gp::ecb26e04a3a35e55,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,1.0966716619441286,0,,5.0,14.0,0.0,2.0,1.5185844389011116,3.0,0.12902503821506542,nan,1.0,0.07833369013886633
BMA,BMA_000017,BMA_000017,0,trainval,train,gp::ecb26e04a3a35e55,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,9,q1_revision_surrogate,1.0,1.0549485960509628,0,,9.0,11.0,0.0,1.0,6.849937431668762,2.0,0.1556200284518853,nan,1.0,0.07535347114649735
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::ecb26e04a3a35e55,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.1357575849397108,0,,2.0,11.0,0.9785110609616356,2.0,1.519796920238843,3.0,0.480084981063714,nan,1.0,0.08112554178140792
BMA,BMA_000027,BMA_000027,0,trainval,train,gp::ecb26e04a3a35e55,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,9,8,q1_revision_surrogate,1.0,1.0641112599987537,0,,1.0,11.0,0.45330157046794783,6.0,0.6192532638443297,2.0,0.3627472203035506,nan,1.0,0.07600794714276812
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::ecb26e04a3a35e55,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,2,8,q1_revision_surrogate,1.0,1.1765148519771174,0,,6.0,12.0,0.7914311760093324,3.0,1.42007835984414,3.0,0.30555670020042724,nan,1.0,0.08403677514122267
BMA,BMA_000030,BMA_000030,0,trainval,train,gp::ecb26e04a3a35e55,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,7,8,q1_revision_surrogate,1.0,1.0310699690598994,0,,1.0,12.0,0.13524398326939435,6.0,0.30181499982013044,2.0,0.17813371206549689,nan,2.0,0.07364785493284996
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::ecb26e04a3a35e55,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,9,8,q1_revision_surrogate,1.0,1.1578387980116531,0,,1.0,12.0,0.6516745268899677,3.0,0.9714823881476298,4.0,0.4014964587629956,nan,2.0,0.08270277128654666
BMA,BMA_000032,BMA_000032,0,trainval,val,gp::ecb26e04a3a35e55,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,11,3,q1_revision_surrogate,1.0,1.0348725989460945,0,,8.0,12.0,1.5278849126918257,3.0,3.714014847453576,3.0,0.4178370328743027,nan,1.0,0.07391947135329247
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::ecb26e04a3a35e55,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,1.31971157703083,0,,2.0,14.0,0.5915345811865804,4.0,1.9368679851891717,2.0,0.07022910873890857,nan,1.0,0.0942651126450593
