dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,7,1,q1_revision_surrogate,1.0,0.52140450803563,0,,6.0,6.0,0.16297155993491774,2.0,0.5600165226622388,1.0,0.019606840752475967,nan,2.0,0.05793383422618111
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,7,7,q1_revision_surrogate,1.0,0.5110647489782423,0,,0.0,7.0,0.03801774259193269,3.0,0.11529636056371001,1.0,0.01948862176616211,nan,5.0,0.056784972108693585
PBS,PBS_000011,PBS_000011,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,2,q1_revision_surrogate,1.0,0.5722695169970393,0,,4.0,7.0,1.1652808148067126,6.0,3.3948115644655794,0.0,0.3739654518350263,nan,1.0,0.06358550188855992
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,2,q1_revision_surrogate,1.0,1.0517665588995442,0,,4.0,15.0,0.7170987369912083,5.0,3.1256946931342533,1.0,0.06179568820388665,nan,3.0,0.07011777059330294
PBS,PBS_000034,PBS_000034,0,trainval,val,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,10,8,q1_revision_surrogate,1.0,0.8665143839316443,0,,2.0,13.0,0.47987060429630934,5.0,1.5722763409904168,2.0,0.1082188462841994,nan,1.0,0.05776762559544295
PBS,PBS_000037,PBS_000037,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,9,q1_revision_surrogate,1.0,0.9631678679725155,0,,9.0,12.0,0.0,2.0,2.7056782936149704,1.0,0.09723967932799821,nan,1.0,0.0642111911981677
PBS,PBS_000068,PBS_000068,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,7,q1_revision_surrogate,1.0,0.8384461960522458,0,,1.0,11.0,0.1247864917997854,12.0,0.3905929942592772,0.0,0.035723579888939545,nan,2.0,0.05589641307014972
PBS,PBS_000071,PBS_000071,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,11,q1_revision_surrogate,1.0,0.9792595229810104,0,,11.0,15.0,0.0,3.0,0.30170846712964167,2.0,0.11474971907821355,nan,1.0,0.06528396819873403
PBS,PBS_000073,PBS_000073,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,10,q1_revision_surrogate,1.0,0.8449594650883228,0,,10.0,14.0,0.0,2.0,6.011050824686267,3.0,0.06507038719124013,nan,1.0,0.056330631005888185
PBS,PBS_000075,PBS_000075,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,12,8,q1_revision_surrogate,1.0,0.9426599940052256,0,,4.0,15.0,1.4618618830208507,2.0,4.522694971728816,1.0,0.4388043694719637,nan,1.0,0.06284399960034838
