dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::48e0ce21f4278c52,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,9,6,q1_revision_surrogate,1.0,4.451155318995006,0,,3.0,10.0,0.0,2.0,0.6135139270802463,1.0,0.4516610031357245,nan,1.0,0.44511553189950065
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::48e0ce21f4278c52,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.347635044949129,0,,1.0,10.0,1.209478161001321,3.0,2.58047480522246,1.0,0.5868660825155215,nan,1.0,0.4347635044949129
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::48e0ce21f4278c52,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,2,5,q1_revision_surrogate,1.0,4.447184124961495,0,,3.0,10.0,1.580528007434777,2.0,2.3639087382477446,2.0,0.9191279733790646,nan,1.0,0.4447184124961495
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::48e0ce21f4278c52,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.403299559955485,0,,1.0,5.0,1.1445530156219907,3.0,1.7243630046337042,1.0,0.6619905662563311,nan,1.0,0.4403299559955485
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::48e0ce21f4278c52,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,8,5,q1_revision_surrogate,1.0,4.412359509966336,0,,3.0,9.0,1.205642559322515,5.0,10.398384553624084,2.0,0.19825898899148567,nan,1.0,0.4412359509966336
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::48e0ce21f4278c52,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.464311755960807,0,,1.0,9.0,1.08319590425742,4.0,1.7721824249397289,2.0,0.6079221519657703,nan,1.0,0.4464311755960807
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::48e0ce21f4278c52,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,4.4825853439979255,0,,1.0,5.0,1.1803913917287354,2.0,2.722502506723621,3.0,0.5375886996530467,nan,1.0,0.4482585343997926
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::48e0ce21f4278c52,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,9,5,q1_revision_surrogate,1.0,4.313466519932263,0,,4.0,10.0,0.0,4.0,0.9930100674280977,2.0,0.4892118978583663,nan,1.0,0.43134665199322625
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::48e0ce21f4278c52,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,4,5,q1_revision_surrogate,1.0,4.242275475058705,0,,1.0,9.0,1.0265786826908965,4.0,1.2368353130074838,2.0,0.8373818001272723,nan,1.0,0.42422754750587044
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::48e0ce21f4278c52,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,9,5,q1_revision_surrogate,1.0,4.417489964980632,0,,4.0,9.0,0.0,2.0,0.7677748323605292,2.0,0.5221743852114706,nan,1.0,0.4417489964980632
