dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000001,BMA_000001,0,trainval,train,gp::8b01a73fb49f8652,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,7,q1_revision_surrogate,1.0,2.4202349139377475,0,,4.0,11.0,0.7611242021690098,4.0,1.5033484015960517,4.0,0.23943698358100293,nan,1.0,0.17287392242412483
BMA,BMA_000005,BMA_000005,0,trainval,train,gp::8b01a73fb49f8652,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,1,q1_revision_surrogate,1.0,2.4002375620184466,0,,7.0,1.0,1.2609655605953687,6.0,3.689818903293871,2.0,0.2826562353944568,nan,1.0,0.17144554014417476
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::8b01a73fb49f8652,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,6,3,q1_revision_surrogate,1.0,2.403946814010851,0,,3.0,5.0,1.4692316135343633,3.0,4.49454583300562,2.0,0.37676287087989424,nan,1.0,0.17171048671506078
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::8b01a73fb49f8652,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,9,q1_revision_surrogate,1.0,2.6025905440328643,0,,8.0,2.0,1.1373135072160814,3.0,2.697736297674844,3.0,0.22944908874722567,nan,1.0,0.18589932457377603
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::8b01a73fb49f8652,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,8,q1_revision_surrogate,1.0,2.382402869989164,0,,3.0,9.0,0.938732887867647,3.0,2.305732003940103,3.0,0.2539827569096301,nan,1.0,0.1701716335706546
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::8b01a73fb49f8652,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,8,q1_revision_surrogate,1.0,2.360668282955885,0,,4.0,12.0,0.34244861540094407,3.0,0.7454149468135024,4.0,0.17804249912125944,nan,1.0,0.16861916306827748
BMA,BMA_000031,BMA_000031,0,trainval,val,gp::8b01a73fb49f8652,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,8,q1_revision_surrogate,1.0,2.373757786001079,0,,7.0,13.0,1.1834293828694573,4.0,2.7647431904422226,3.0,0.21054750563101013,nan,1.0,0.16955412757150562
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::8b01a73fb49f8652,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,5,q1_revision_surrogate,1.0,2.3897858929121867,0,,3.0,6.0,0.8602172043207723,4.0,2.5746554620019233,3.0,0.2416927482749851,nan,1.0,0.17069899235087047
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::8b01a73fb49f8652,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,2.6785593460081145,0,,2.0,11.0,0.896913585797504,3.0,2.3365588014492644,3.0,0.22698204200944783,nan,1.0,0.19132566757200817
BMA,BMA_000037,BMA_000037,0,trainval,train,gp::8b01a73fb49f8652,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,3,q1_revision_surrogate,1.0,2.4130190539872274,0,,5.0,10.0,0.893245167202002,3.0,1.0393236965429806,4.0,0.8713017736030357,nan,1.0,0.17235850385623053
