dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000011,BMA_000011,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,4,q1_revision_surrogate,1.0,0.877596492995508,0,,4.0,14.0,0.0,1.0,1.354637850824229,1.0,0.08024964993350338,nan,1.0,0.06268546378539343
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,10,q1_revision_surrogate,1.0,0.8474974120035768,0,,4.0,14.0,0.189923838323952,11.0,0.46227949605838725,0.0,0.0645272881199228,nan,4.0,0.06053552942882691
BMA,BMA_000022,BMA_000022,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,9,q1_revision_surrogate,1.0,0.7109836500603706,0,,3.0,13.0,0.16143280389674575,12.0,0.36528943945310266,0.0,0.12052392038101327,nan,3.0,0.05078454643288361
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.7628466100431979,0,,8.0,12.0,0.0,1.0,5.139937757541599,1.0,0.09478580413654937,nan,1.0,0.05448904357451413
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.691997378016822,0,,8.0,12.0,0.0,1.0,5.796021579830812,1.0,0.161296304965694,nan,1.0,0.049428384144058715
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,6,8,q1_revision_surrogate,1.0,0.7626312229549512,0,,2.0,10.0,0.03785221057822019,13.0,0.11900530987789798,0.0,0.007973456966096708,nan,3.0,0.05447365878249651
BMA,BMA_000029,BMA_000029,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,8,q1_revision_surrogate,1.0,0.7105589130660519,0,,8.0,12.0,0.0,1.0,4.494532048923937,1.0,0.07228767287882516,nan,1.0,0.05075420807614656
BMA,BMA_000033,BMA_000033,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,3,q1_revision_surrogate,1.0,0.7041133110178635,0,,3.0,14.0,0.0,1.0,0.6040530570218082,1.0,0.07177806506502714,nan,1.0,0.05029380792984739
BMA,BMA_000035,BMA_000035,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,5,q1_revision_surrogate,1.0,0.7380702829686925,0,,0.0,14.0,0.22650448632086906,9.0,0.6831957358443038,0.0,0.044889832907175076,nan,3.0,0.052719305926335176
BMA,BMA_000036,BMA_000036,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,5,3,q1_revision_surrogate,1.0,0.7512239159550518,0,,2.0,14.0,0.8312553196265361,7.0,3.8179619065596153,0.0,0.10498459195024117,nan,3.0,0.05365885113964656
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,0,4,q1_revision_surrogate,1.0,0.49037496210075915,0,,4.0,4.0,0.0,2.0,3.192824633736557,1.0,0.03095264801317594,nan,1.0,0.05448610690008435
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::0564c739140951f0,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""unsharp_mask"", ""params"": {""amount"": 1.0, ""ksize"": 3, ""sigma"": 1.0}}]}",cfm4,7,1,q1_revision_surrogate,1.0,0.5063843500101939,0,,6.0,6.0,0.16297155993491774,2.0,0.5600165226622388,1.0,0.019606840752475967,nan,2.0,0.05626492777891043
