dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::2b50a0bd04520901,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,3,q1_revision_surrogate,1.0,3.1341094450326636,0,,5.0,4.0,0.7360102560706193,3.0,1.621300266487604,3.0,0.19134247654978567,nan,1.0,0.22386496035947598
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::2b50a0bd04520901,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,9,1,q1_revision_surrogate,1.0,2.969407672993839,0,,8.0,2.0,1.409872778469084,6.0,9.649277967322616,2.0,0.2563542872625523,nan,1.0,0.2121005480709885
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::2b50a0bd04520901,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,1,q1_revision_surrogate,1.0,2.9662774530006573,0,,6.0,13.0,0.12149198293722441,4.0,0.26587571583814745,2.0,0.16706157869644758,nan,2.0,0.21187696092861838
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::2b50a0bd04520901,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,10,q1_revision_surrogate,1.0,3.0403530510375276,0,,9.0,13.0,0.8893417979783915,5.0,1.9474223886449011,2.0,0.22980004376363683,nan,1.0,0.21716807507410912
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::2b50a0bd04520901,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,9,q1_revision_surrogate,1.0,3.006560868001543,0,,3.0,13.0,0.5629326890385763,3.0,1.0943611552135228,2.0,0.2109886974869822,nan,1.0,0.21475434771439592
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::2b50a0bd04520901,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,9,q1_revision_surrogate,1.0,3.0538234900450334,0,,8.0,13.0,1.3648860480606149,3.0,3.3962791293027763,3.0,0.3133216774402701,nan,1.0,0.21813024928893096
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::2b50a0bd04520901,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,10,8,q1_revision_surrogate,1.0,2.9718885970069095,0,,2.0,12.0,0.8016798937147698,6.0,2.5614305898117435,3.0,0.12721275145095193,nan,1.0,0.21227775692906498
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::2b50a0bd04520901,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,8,q1_revision_surrogate,1.0,3.2410254820715636,0,,4.0,12.0,0.3755918134593047,2.0,1.0455622220843963,4.0,0.10548648521166325,nan,1.0,0.23150182014796883
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::2b50a0bd04520901,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,8,q1_revision_surrogate,1.0,2.949091781047173,0,,7.0,13.0,1.0412471177081861,5.0,2.6164952685981837,3.0,0.244447913701237,nan,1.0,0.21064941293194092
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::2b50a0bd04520901,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,8,q1_revision_surrogate,1.0,2.9968092530034482,0,,3.0,14.0,1.0494110302953081,3.0,3.365619845880703,4.0,0.3149063666526597,nan,1.0,0.2140578037859606
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::2b50a0bd04520901,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,8,7,q1_revision_surrogate,1.0,1.8545971239218488,0,,1.0,8.0,0.0,3.0,0.2207497660373609,1.0,0.018833519343568084,nan,2.0,0.20606634710242766
