dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::a1893fde83b95ce6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,1,q1_revision_surrogate,1.0,1.1022079149261117,0,,4.0,7.0,0.4141454690037363,4.0,1.2386366585724844,1.0,0.04654272317042092,nan,1.0,0.1224675461029013
PBS,PBS_000010,PBS_000010,0,trainval,val,gp::a1893fde83b95ce6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,4,7,q1_revision_surrogate,1.0,1.0621622159378603,0,,3.0,8.0,0.09524666779941404,5.0,0.2409821274237761,1.0,0.038969552363079155,nan,4.0,0.11801802399309559
PBS,PBS_000011,PBS_000011,0,trainval,train,gp::a1893fde83b95ce6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,8,2,q1_revision_surrogate,1.0,1.1383321189787239,0,,6.0,9.0,0.0,1.0,0.12759172335442823,1.0,0.1903335023686737,nan,3.0,0.12648134655319154
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::a1893fde83b95ce6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,2,q1_revision_surrogate,1.0,1.927256808965467,0,,4.0,15.0,0.6235463879204832,3.0,2.190096677327074,1.0,0.07984192875836767,nan,6.0,0.12848378726436446
PBS,PBS_000034,PBS_000034,0,trainval,val,gp::a1893fde83b95ce6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,10,8,q1_revision_surrogate,1.0,1.812699934002012,0,,2.0,13.0,0.07031137858119141,5.0,0.2713523655097644,2.0,0.02947061953278429,nan,9.0,0.1208466622668008
PBS,PBS_000037,PBS_000037,0,trainval,train,gp::a1893fde83b95ce6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,9,9,q1_revision_surrogate,1.0,1.8849795059068128,0,,0.0,14.0,0.05632550846110651,6.0,0.11676181162682436,1.0,0.21904000632533302,nan,6.0,0.1256653003937875
PBS,PBS_000068,PBS_000068,0,trainval,train,gp::a1893fde83b95ce6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,7,q1_revision_surrogate,1.0,1.9675328909652308,0,,1.0,15.0,0.019143282841573073,12.0,0.06606528114218511,0.0,0.06626496664337553,nan,7.0,0.13116885939768205
PBS,PBS_000071,PBS_000071,0,trainval,train,gp::a1893fde83b95ce6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,12,11,q1_revision_surrogate,1.0,1.9223348470404744,0,,1.0,15.0,0.04647508103071818,4.0,0.13567046857686524,1.0,0.09675677635887318,nan,7.0,0.12815565646936497
PBS,PBS_000073,PBS_000073,0,trainval,train,gp::a1893fde83b95ce6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,9,10,q1_revision_surrogate,1.0,2.0145123860565946,0,,1.0,15.0,0.2905503199724956,2.0,0.7578341023964995,2.0,0.07980056477375447,nan,1.0,0.1343008257371063
PBS,PBS_000075,PBS_000075,0,trainval,train,gp::a1893fde83b95ce6,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,8,q1_revision_surrogate,1.0,1.9190649359952658,0,,2.0,13.0,0.05012779856408134,7.0,0.22919730747819086,1.0,0.011575798116760037,nan,7.0,0.12793766239968438
