dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,4,q1_revision_surrogate,1.0,5.579355236957781,0,,4.0,4.0,0.0,1.0,0.8973290227845044,3.0,0.22445743871936333,nan,1.0,0.6199283596619757
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,5,1,q1_revision_surrogate,1.0,4.3227172089973465,0,,4.0,7.0,0.32053880961731385,2.0,0.9998936745070918,2.0,0.04435905688361956,nan,1.0,0.4803019121108163
PBS,PBS_000020,PBS_000020,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,3,3,q1_revision_surrogate,1.0,8.923921172972769,0,,0.0,15.0,0.19581082016726814,2.0,0.5280310148743736,2.0,0.08634921254815629,nan,1.0,0.5949280781981846
PBS,PBS_000021,PBS_000021,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,2,1,q1_revision_surrogate,1.0,3.0034882329637185,0,,1.0,4.0,1.0547696946210043,2.0,2.5400380654628494,1.0,0.3689546409958134,nan,1.0,0.3337209147737465
PBS,PBS_000022,PBS_000022,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,2,6,q1_revision_surrogate,1.0,5.539705588016659,0,,4.0,6.0,0.402337322510647,6.0,0.776443767517918,1.0,0.1961586080482222,nan,1.0,0.6155228431129621
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,4,2,q1_revision_surrogate,1.0,7.487496520974673,0,,2.0,15.0,0.01593633422070484,5.0,0.041818495025602594,1.0,0.08001416054282208,nan,5.0,0.4991664347316449
PBS,PBS_000038,PBS_000038,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,14,3,q1_revision_surrogate,1.0,9.119699373026378,0,,11.0,15.0,0.0,5.0,0.3949934846190902,3.0,0.08925247660935551,nan,1.0,0.6079799582017585
PBS,PBS_000049,PBS_000049,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,10,1,q1_revision_surrogate,1.0,7.754748102976009,0,,9.0,14.0,0.6345660365234812,6.0,2.7069322987541686,2.0,0.06527286670279063,nan,1.0,0.5169832068650673
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,22.44750261097215,0,,3.0,15.0,0.0,4.0,0.6529365032458748,3.0,0.1358858602978241,nan,1.0,1.49650017406481
PBS,PBS_000076,PBS_000076,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,8,q1_revision_surrogate,1.0,9.25171552109532,0,,3.0,13.0,0.1991169824312099,4.0,0.6204935871071645,3.0,0.11668081081726767,nan,2.0,0.616781034739688
TBF,TBF_000004,TBF_000004,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,1,7,q1_revision_surrogate,1.0,5.805831162026152,0,,6.0,13.0,1.0552004650091034,6.0,3.3910527273642375,1.0,0.11395436984521863,nan,1.0,0.41470222585901084
TBF,TBF_000057,TBF_000057,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,10,4,q1_revision_surrogate,1.0,6.679138062987477,0,,6.0,2.0,0.7978808963137674,8.0,3.0033739713128247,2.0,0.11680138880717661,nan,1.0,0.4770812902133912
TBF,TBF_000059,TBF_000059,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,5,q1_revision_surrogate,1.0,6.87149110599421,0,,6.0,2.0,0.9064124506590542,8.0,3.8086979770466267,1.0,0.10662264458894298,nan,1.0,0.4908207932853007
TBF,TBF_000067,TBF_000067,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,5,q1_revision_surrogate,1.0,6.426846094895154,0,,6.0,2.0,1.0344333308916074,4.0,4.023627543215971,3.0,0.16976809272925023,nan,1.0,0.45906043534965385
TBF,TBF_000080,TBF_000080,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,5.297511926037259,0,,6.0,13.0,0.0,5.0,1.8241332033965671,2.0,0.12609433756170021,nan,1.0,0.3783937090026614
TBF,TBF_000107,TBF_000107,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,6.878975896979682,0,,6.0,3.0,0.0,1.0,3.1194131511217904,3.0,0.1281945030907378,nan,1.0,0.49135542121283443
TBF,TBF_000153,TBF_000153,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,10,5,q1_revision_surrogate,1.0,6.4399165799841285,0,,5.0,3.0,0.6868931117819238,4.0,2.4527830483231363,2.0,0.09268331896572786,nan,1.0,0.45999404142743777
TBF,TBF_000169,TBF_000169,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,12,7,q1_revision_surrogate,1.0,5.315881098038517,0,,5.0,13.0,0.4597843877711303,3.0,0.9442340581441795,3.0,0.15551715953624387,nan,1.0,0.3797057927170369
TBF,TBF_000176,TBF_000176,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,11,6,q1_revision_surrogate,1.0,7.5818177739856765,0,,5.0,2.0,0.7900057108025409,4.0,3.416896868120859,2.0,0.09199960916330337,nan,1.0,0.5415584124275483
TBF,TBF_000179,TBF_000179,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,13,7,q1_revision_surrogate,1.0,4.719547625049017,0,,6.0,14.0,0.0,3.0,0.0782991690147066,2.0,0.09884534970374274,nan,2.0,0.33711054464635837
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,4,6,q1_revision_surrogate,1.0,6.103822467965074,0,,2.0,10.0,0.08583946670631692,3.0,0.15460531685185352,1.0,0.2532445449609989,nan,3.0,0.6103822467965074
TBI,TBI_000003,TBI_000003,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,4.740953517961316,0,,3.0,10.0,0.16661613117765162,6.0,0.34529798525575534,0.0,0.2217504342754344,nan,1.0,0.4740953517961316
TBI,TBI_000004,TBI_000004,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,3,5,q1_revision_surrogate,1.0,6.288588023977354,0,,2.0,10.0,0.15688066748154583,5.0,0.29519200969094106,0.0,0.12928247507413393,nan,2.0,0.6288588023977354
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,5.406617134925909,0,,5.0,10.0,0.0,3.0,0.20125049942060286,1.0,0.18811245941376836,nan,2.0,0.540661713492591
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,5.13970901700668,0,,5.0,10.0,0.0,3.0,0.03155330717319868,1.0,0.1357817937709798,nan,2.0,0.5139709017006681
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,5.408815490081906,0,,3.0,10.0,0.14203755326647816,5.0,0.23998805402951454,1.0,0.2739100953392416,nan,3.0,0.5408815490081906
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,1,5,q1_revision_surrogate,1.0,5.21139127202332,0,,4.0,10.0,0.1688259583396522,6.0,0.3311259061787444,0.0,0.15634612864288308,nan,1.0,0.521139127202332
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,4,5,q1_revision_surrogate,1.0,5.379021266009659,0,,1.0,10.0,0.12203930967155363,5.0,0.18467604317194639,1.0,0.5536264744518592,nan,2.0,0.5379021266009658
TBI,TBI_000024,TBI_000024,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,1,3,q1_revision_surrogate,1.0,5.136898364988156,0,,2.0,10.0,0.3054564757460264,4.0,0.5223934210852192,1.0,0.2568962476203679,nan,1.0,0.5136898364988156
TBI,TBI_000025,TBI_000025,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,2,5,q1_revision_surrogate,1.0,7.176727224956267,0,,3.0,9.0,0.6586478786881814,3.0,0.7180485757008013,2.0,0.507703640722293,nan,1.0,0.7176727224956266
WBC,WBC_000214,WBC_000214,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.19378842203877866,0,,4.0,10.0,0.0,4.0,0.7745593700149433,0.0,0.02066904392784894,nan,1.0,0.019378842203877866
WBC,WBC_002054,WBC_002054,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,2,6,q1_revision_surrogate,1.0,0.026909764972515404,0,,4.0,10.0,0.505258778901156,5.0,1.0866929579121911,0.0,0.07233451301437416,nan,1.0,0.0026909764972515406
WBC,WBC_010017,WBC_010017,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.027209444902837276,0,,5.0,10.0,0.0,5.0,0.48081091434058687,0.0,0.03257121959591414,nan,1.0,0.0027209444902837276
WBC,WBC_010288,WBC_010288,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,6,q1_revision_surrogate,1.0,0.023156456067226827,0,,6.0,10.0,0.0,5.0,0.02642149367101333,0.0,0.06917528564086092,nan,2.0,0.002315645606722683
WBC,WBC_010515,WBC_010515,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.01961703202687204,0,,5.0,10.0,0.0,5.0,0.271236615622698,0.0,0.02620775001358497,nan,1.0,0.001961703202687204
WBC,WBC_011933,WBC_011933,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,6,q1_revision_surrogate,1.0,0.021517821005545557,0,,6.0,10.0,0.0,6.0,0.5746174392773978,0.0,0.012744788027254513,nan,1.0,0.0021517821005545557
WBC,WBC_014231,WBC_014231,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,9,5,q1_revision_surrogate,1.0,2.375327283050865,0,,4.0,10.0,0.0,4.0,0.9607081106578386,1.0,0.055887920189695635,nan,1.0,0.23753272830508648
WBC,WBC_015274,WBC_015274,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,6,q1_revision_surrogate,1.0,0.021595256053842604,0,,6.0,10.0,0.0,6.0,0.10902922778135661,0.0,0.02688083952123235,nan,2.0,0.0021595256053842603
WBC,WBC_019220,WBC_019220,0,trainval,train,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,9,5,q1_revision_surrogate,1.0,0.19564053101930767,0,,4.0,10.0,0.0,5.0,0.6740234305572909,1.0,0.06093921644350623,nan,1.0,0.019564053101930767
WBC,WBC_019850,WBC_019850,0,trainval,val,gp::b25a980af892a3aa,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""gradient_morph"", ""params"": {""ksize"": 3}}]}",cfm4,0,5,q1_revision_surrogate,1.0,0.01771626202389598,0,,5.0,10.0,0.0,2.0,0.47887533941174504,1.0,0.072725306651466,nan,1.0,0.0017716262023895978
