dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
PBS,PBS_000000,PBS_000000,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,4,q1_revision_surrogate,1.0,4.6209019280504435,0,,4.0,9.0,0.0,4.0,0.8345907050261407,1.0,0.07296527670268735,nan,1.0,0.5134335475611604
PBS,PBS_000004,PBS_000004,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,3,1,q1_revision_surrogate,1.0,2.5962005129549652,0,,2.0,6.0,0.2829042493740219,8.0,0.8413305162879638,0.0,0.049363239370993676,nan,1.0,0.2884667236616628
PBS,PBS_000020,PBS_000020,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,3,q1_revision_surrogate,1.0,7.480369510944001,0,,3.0,14.0,0.8582682847108365,5.0,3.0876830392164503,1.0,0.13110135672770176,nan,4.0,0.4986913007296001
PBS,PBS_000021,PBS_000021,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,5,1,q1_revision_surrogate,1.0,2.8092808349756524,0,,4.0,7.0,0.4589232022020998,3.0,1.0450469116400873,2.0,0.20927084526323966,nan,1.0,0.3121423149972947
PBS,PBS_000022,PBS_000022,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,2,6,q1_revision_surrogate,1.0,4.562989076017402,0,,4.0,5.0,0.5052360157072365,6.0,1.155116340528883,1.0,0.2542949814483458,nan,1.0,0.5069987862241558
PBS,PBS_000025,PBS_000025,0,trainval,val,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,2,q1_revision_surrogate,1.0,6.28729744697921,0,,4.0,14.0,0.8075745870236319,8.0,3.009776969619843,0.0,0.10023177263562086,nan,3.0,0.41915316313194734
PBS,PBS_000038,PBS_000038,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,3,q1_revision_surrogate,1.0,7.731130082975142,0,,3.0,14.0,0.83651278972523,9.0,3.241164205989276,0.0,0.11158427141723025,nan,2.0,0.5154086721983427
PBS,PBS_000049,PBS_000049,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,4,1,q1_revision_surrogate,1.0,6.705559025052935,0,,3.0,14.0,0.08417807053678839,5.0,0.19204100326560927,1.0,0.220171094171128,nan,2.0,0.4470372683368623
PBS,PBS_000063,PBS_000063,0,trainval,train,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,5,3,q1_revision_surrogate,1.0,20.143008125014603,0,,2.0,15.0,0.1119345115097975,9.0,0.3253537361356692,0.0,0.06018318623235673,nan,2.0,1.342867208334307
PBS,PBS_000076,PBS_000076,0,trainval,val,gp::6c8eaac99bbc5b9c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,8.231790831079707,0,,8.0,12.0,0.0,1.0,5.6058913736704215,1.0,0.08616867930145948,nan,1.0,0.5487860554053138
