dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::a0eed51fc607d77c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,3,q1_revision_surrogate,1.0,1.2843620480271056,0,,4.0,6.0,0.6789125426527828,3.0,1.9001516600071673,3.0,0.14727905879698683,nan,1.0,0.0917401462876504
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::a0eed51fc607d77c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,9,1,q1_revision_surrogate,1.0,1.2325041040312499,0,,8.0,1.0,1.6193726506082768,4.0,8.706647685934236,2.0,0.34342886701573544,nan,1.0,0.08803600743080356
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::a0eed51fc607d77c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,7,1,q1_revision_surrogate,1.0,1.1374020830262452,0,,6.0,13.0,0.12589103430687842,3.0,0.2366954924313052,4.0,0.2317010172568492,nan,3.0,0.08124300593044609
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::a0eed51fc607d77c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,10,q1_revision_surrogate,1.0,1.2804183959960938,0,,9.0,13.0,0.5663262740736572,4.0,0.9906286556974284,2.0,0.34213694294617897,nan,2.0,0.09145845685686384
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::a0eed51fc607d77c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,9,q1_revision_surrogate,1.0,1.0936074079945683,0,,3.0,13.0,0.47052474271270284,3.0,0.8228607894934818,2.0,0.28000727567945277,nan,1.0,0.07811481485675488
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::a0eed51fc607d77c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,9,q1_revision_surrogate,1.0,1.232810921035707,0,,8.0,13.0,1.0043334624168314,3.0,2.1387117577915027,3.0,0.2181196911539023,nan,1.0,0.08805792293112193
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::a0eed51fc607d77c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,10,8,q1_revision_surrogate,1.0,1.0939494200283661,0,,2.0,13.0,0.7290182540707167,5.0,1.9693397326386726,2.0,0.17872680107027683,nan,1.0,0.07813924428774044
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::a0eed51fc607d77c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,12,8,q1_revision_surrogate,1.0,1.2653727830620483,0,,4.0,13.0,0.4132462102129215,2.0,0.976561418457078,4.0,0.2348932979625941,nan,1.0,0.09038377021871773
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::a0eed51fc607d77c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,1,8,q1_revision_surrogate,1.0,1.1221139010740444,0,,7.0,13.0,1.4861321183686274,4.0,4.300414328008848,3.0,0.2908558758858049,nan,1.0,0.08015099293386031
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::a0eed51fc607d77c,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""laplacian_sharpen"", ""params"": {""amount"": 1.0, ""ksize"": 3}}]}",cfm4,11,8,q1_revision_surrogate,1.0,1.2560829389840364,0,,3.0,14.0,1.155689851121977,2.0,3.5214438607127074,2.0,0.33861308981388466,nan,1.0,0.08972020992743117
