dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
BMA,BMA_000006,BMA_000006,0,trainval,train,gp::5e7ad93e23be8890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,3,q1_revision_surrogate,1.0,2.918317770003341,0,,3.0,14.0,0.0,1.0,2.132493287196519,1.0,0.15811717415992685,nan,1.0,0.20845126928595295
BMA,BMA_000009,BMA_000009,0,trainval,train,gp::5e7ad93e23be8890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,1,q1_revision_surrogate,1.0,2.8965902890777215,0,,1.0,14.0,0.0,1.0,0.9490198586081043,1.0,0.1700602928370045,nan,1.0,0.2068993063626944
BMA,BMA_000016,BMA_000016,0,trainval,train,gp::5e7ad93e23be8890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,1,q1_revision_surrogate,1.0,2.9377959369448945,0,,1.0,13.0,0.0,2.0,5.571823940870746,1.0,0.1493290988662528,nan,1.0,0.20984256692463532
BMA,BMA_000019,BMA_000019,0,trainval,train,gp::5e7ad93e23be8890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,10,q1_revision_surrogate,1.0,2.94310278899502,0,,4.0,14.0,0.18293032274289678,11.0,0.4758337733182564,0.0,0.057979321044977376,nan,4.0,0.21022162778535858
BMA,BMA_000020,BMA_000020,0,trainval,val,gp::5e7ad93e23be8890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,2.881036995910108,0,,3.0,13.0,0.07895914505009749,12.0,0.16236803219934165,0.0,0.19032680121562198,nan,3.0,0.205788356850722
BMA,BMA_000023,BMA_000023,0,trainval,val,gp::5e7ad93e23be8890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,9,q1_revision_surrogate,1.0,3.02356123609934,0,,3.0,13.0,0.14682252807893936,12.0,0.33641006625390724,0.0,0.12035459866729238,nan,3.0,0.21596865972138143
BMA,BMA_000024,BMA_000024,0,trainval,train,gp::5e7ad93e23be8890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,2.8615565469954163,0,,2.0,11.0,0.04853813864782208,12.0,0.11531925178539333,0.0,0.10355671940326039,nan,4.0,0.20439689621395832
BMA,BMA_000025,BMA_000025,0,trainval,train,gp::5e7ad93e23be8890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,0,8,q1_revision_surrogate,1.0,2.9564468199387193,0,,8.0,12.0,0.0,1.0,5.087701381682309,1.0,0.114305316074833,nan,1.0,0.21117477285276567
BMA,BMA_000026,BMA_000026,0,trainval,train,gp::5e7ad93e23be8890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,3.0511649969266728,0,,2.0,13.0,0.0617714443484807,12.0,0.12017642126948946,0.0,0.17944138517950303,nan,4.0,0.21794035692333377
BMA,BMA_000028,BMA_000028,0,trainval,train,gp::5e7ad93e23be8890,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""histogram_equalization"", ""params"": {}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""morph_open_close"", ""params"": {""ksize"": 3}}, {""baseline"": false, ""category"": ""gp_step_3"", ""enabled"": true, ""name"": ""median_filter"", ""params"": {""ksize"": 3}}]}",cfm4,6,8,q1_revision_surrogate,1.0,2.93790809600614,0,,2.0,10.0,0.042258638960645634,13.0,0.1309924334914697,0.0,0.007446116458645158,nan,4.0,0.20985057828615286
