dataset,stack_id,group_id,stack_index,outer_split,inner_split,method,method_type,pipeline_json,focus_measure,predicted_focus_index,reference_focus_index,label_source,label_confidence,runtime_sec_per_stack,failure,failure_reason,absolute_peak_localization_error,fwhm,curvature_at_peak,steep_slope_width,steep_to_gradual_slope_ratio,false_maxima_count,noise_level,rrmse_under_additive_noise,range_around_global_maximum,execution_time_per_slice
TBI,TBI_000001,TBI_000001,0,trainval,train,gp::3edc617cdc5b3802,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,5,6,q1_revision_surrogate,1.0,3.8168257909128442,0,,1.0,10.0,1.9826893772329606,2.0,4.584048603844717,0.0,0.9150787732695036,nan,1.0,0.38168257909128445
TBI,TBI_000007,TBI_000007,0,trainval,val,gp::3edc617cdc5b3802,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,3.8850448250304908,0,,1.0,10.0,1.1993808287290277,3.0,2.3161495090420536,1.0,0.5824860138481933,nan,1.0,0.3885044825030491
TBI,TBI_000009,TBI_000009,0,trainval,train,gp::3edc617cdc5b3802,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,2,5,q1_revision_surrogate,1.0,3.845422559999861,0,,3.0,10.0,1.5820809874517607,2.0,2.5809663434206507,2.0,0.8819584049325677,nan,1.0,0.3845422559999861
TBI,TBI_000014,TBI_000014,0,trainval,train,gp::3edc617cdc5b3802,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,3.7636282310122624,0,,1.0,5.0,0.5538884080206347,3.0,1.1087284880466581,1.0,0.23501072511551072,nan,1.0,0.37636282310122626
TBI,TBI_000015,TBI_000015,0,trainval,val,gp::3edc617cdc5b3802,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,8,5,q1_revision_surrogate,1.0,3.6208375999704003,0,,3.0,2.0,1.3983391816208308,5.0,6.080394711800365,2.0,0.3097213707495945,nan,1.0,0.36208375999704
TBI,TBI_000017,TBI_000017,0,trainval,train,gp::3edc617cdc5b3802,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,3.5996621920494363,0,,1.0,9.0,1.0932726886986517,4.0,1.7633541017583152,2.0,0.629260688435508,nan,1.0,0.35996621920494365
TBI,TBI_000019,TBI_000019,0,trainval,train,gp::3edc617cdc5b3802,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,6,5,q1_revision_surrogate,1.0,3.8035042580449954,0,,1.0,5.0,1.1866227489676524,2.0,2.7107839904325743,3.0,0.5454695477447635,nan,1.0,0.3803504258044995
TBI,TBI_000020,TBI_000020,0,trainval,train,gp::3edc617cdc5b3802,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,9,5,q1_revision_surrogate,1.0,3.851636140025221,0,,4.0,10.0,0.0,4.0,1.046805875312601,2.0,0.4444752949947406,nan,1.0,0.3851636140025221
TBI,TBI_000026,TBI_000026,0,trainval,train,gp::3edc617cdc5b3802,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,4,5,q1_revision_surrogate,1.0,3.706339826923795,0,,1.0,9.0,1.0280605325043939,4.0,1.3310688936026716,2.0,0.7727803542051891,nan,1.0,0.3706339826923795
TBI,TBI_000027,TBI_000027,0,trainval,train,gp::3edc617cdc5b3802,q1_gp_workflow,"{""steps"": [{""baseline"": false, ""category"": ""gp_step_1"", ""enabled"": true, ""name"": ""fft_highpass_filter"", ""params"": {""cutoff"": 0.1}}, {""baseline"": false, ""category"": ""gp_step_2"", ""enabled"": true, ""name"": ""gaussian_blur"", ""params"": {""ksize"": 3, ""sigma"": 0.0}}]}",cfm4,9,5,q1_revision_surrogate,1.0,3.8684541028924286,0,,4.0,9.0,0.0,2.0,0.8412431469016035,2.0,0.6295148505414039,nan,1.0,0.38684541028924285
